gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.843432707000971	0.3242	0.3078	0.311	0.2894	0.7126	0.5302	0.6166	0.4276
PER3	0.955923225221847	0.5414	0.5394	0.5316	0.5186	0.936	0.8814	0.9326	0.876
KIF1B	0.725458333196184	0.9298	0.9298	0.9276	0.9404	0.3406	0.3486	0.318	0.2972
ENO1	0.126709977733742	0.9482	0.8018	0.9436	0.8142	0.3424	0.3608	0.3368	0.296
GNB1	0.128630562546446	0.348	0.3034	0.357	0.3008	0.0533	0.0495	0.0835	0.0795
UBE4B	0.309003027438854	0.0281	0.0308	0.0334	0.0387	0.8654	0.7578	0.8746	0.7784
RERE	0.445359964501538	0.7792	0.5674	0.763	0.5354	0.3592	0.3512	0.3096	0.2826
PRDM16	0.412441168097337	0.1392	0.0874	0.1122	0.0629	0.1054	0.1176	0.1254	0.1292
CLSTN1	0.394131112166767	0.913	0.8818	0.8992	0.8694	0.2792	0.1798	0.1618	0.1048
SLC25A33	0.279868910918022	0.3552	0.1926	0.373	0.2406	0.8538	0.9852	0.8578	0.9778
CAMTA1	0.680361816843555	0.8428	0.4586	0.7896	0.319	0.9042	0.6116	0.9038	0.569
PRDM16-DT	0.289064837390999	0.7778	0.5128	0.7546	0.4718	0.5158	0.5636	0.4592	0.524
ARHGEF10L	0.887686294132744	0.61	0.5868	0.5656	0.5544	0.5678	0.5888	0.5104	0.4858
EIF4G3	0.836178780802803	0.5698	0.4618	0.5848	0.4552	0.3298	0.3208	0.276	0.2652
RSRP1	0.143580517049553	0.5954	0.9008	0.5572	0.8808	0.5956	0.8366	0.6242	0.8416
ARID1A	0.43469927039348	0.621	0.4646	0.5298	0.403	0.7118	0.3752	0.672	0.3914
HP1BP3	0.509477473682964	0.2734	0.1694	0.2024	0.1132	0.3484	0.3128	0.1614	0.1728
SRRM1	0.612698315659932	0.9298	0.9634	0.9094	0.9434	0.4246	0.3224	0.2938	0.24
LUZP1	0.276240696642814	0.0282	0.0788	0.0269	0.0845	0.9964	0.8224	0.9962	0.8314
PHACTR4	0.142830017422816	0.091	0.0964	0.0883	0.0954	0.9352	0.9064	0.8858	0.8398
SCMH1	0.89736804221986	0.7598	0.7408	0.718	0.6754	0.9618	0.9622	0.936	0.9464
TESK2	0.220156158328051	0.1936	0.1934	0.2238	0.2176	0.969	0.9696	0.9636	0.9732
COL16A1	0.450378775865601	0.1866	0.2288	0.1802	0.224	0.884	0.8384	0.8444	0.8012
SFPQ	0.952401460744148	0.781	0.771	0.6038	0.6492	0.976	0.8706	0.935	0.8056
ERI3	0.628173290895196	0.9496	0.571	0.9462	0.5776	0.8068	0.994	0.7572	0.994
AGO3	0.629448926132844	0.9064	0.7586	0.859	0.6004	0.4554	0.373	0.453	0.3796
HIVEP3	0.517338628214668	0.7328	0.8768	0.723	0.8678	0.7604	0.7758	0.5694	0.6464
