gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
KIF1B	0.382337311000965	0.0989	0.0906	0.062	0.0532	0.1288	0.121	0.0802	0.0684
UBE4B	0.791523869471324	0.7992	0.818	0.7312	0.6688	0.3046	0.252	0.1312	0.0725
RERE	0.827978720330443	0.5794	0.5024	0.3034	0.3214	0.0883	0.0726	0.106	0.0795
CAMTA1	0.228740856163248	0.3468	0.3782	0.387	0.4174	0.5588	0.6852	0.4336	0.6374
KAZN	0.503760523648892	0.596	0.9612	0.4752	0.943	0.8476	0.5616	0.7684	0.445
EIF4G3	0.486081147417876	0.96	0.904	0.9544	0.9118	0.5012	0.3888	0.3894	0.302
RSRP1	0.262973566319532	0.2006	0.2996	0.1968	0.3138	0.8306	0.9036	0.8208	0.8898
STMN1	0.017621166927564	0.238	0.5728	0.1954	0.547	0.228	0.1262	0.0814	0.0274
HP1BP3	0.348913045162498	0.1618	0.1988	0.1978	0.2186	0.6644	0.6176	0.662	0.626
SRRM1	0.206347501996774	0.482	0.742	0.4202	0.696	0.5786	0.4008	0.305	0.2076
CAMK2N1	0.678158144181253	0.5064	0.3828	0.1762	0.1007	0.6232	0.4412	0.3262	0.2514
CLIC4	0.544118828504265	0.3726	0.3328	0.2062	0.1962	0.3066	0.328	0.3274	0.3438
PHACTR4	0.238622995680104	0.2776	0.2608	0.3336	0.2964	0.315	0.3434	0.3086	0.3192
TESK2	0.872423314064972	0.436	0.377	0.4424	0.3814	0.844	0.9136	0.7982	0.8836
AGO3	0.35526242152935	0.5212	0.4298	0.4726	0.3492	0.2872	0.2658	0.2276	0.211
MACF1	0.72913815853589	0.6274	0.6296	0.3058	0.3418	0.1638	0.2552	0.1134	0.2176
NASP	0.724897751808979	0.7862	0.6864	0.7636	0.6322	0.2178	0.2414	0.2648	0.227
MARCKSL1	0.95797017037039	0.3374	0.2398	0.3304	0.2534	0.2488	0.2202	0.1088	0.1096
RNF220	0.566569449131565	0.8906	0.6626	0.8214	0.6618	0.2518	0.2206	0.1898	0.1518
FOXJ3	0.0171382035928596	0.1002	0.3808	0.0959	0.3428	0.2684	0.0546	0.1718	0.0201
LRRC7	0.067244609907124	0.5122	0.4374	0.3908	0.316	0.4182	0.328	0.0816	0.1212
NRDC	0.70873211994888					0.6462	0.4588	0.3754	0.2392
EPS15	0.780165173287935	0.5656	0.6038	0.2522	0.2912	0.3308	0.6898	0.3324	0.7094
TMEM59	0.335147985135277	0.3966	0.4274	0.2452	0.2474	0.2224	0.4896	0.131	0.39
DNAJC6	0.0744153789550645	0.0784	0.1084	0.0462	0.0577	0.0538	0.0608	0.0414	0.0513
SRSF11	0.876378377036392	0.5058	0.5652	0.2478	0.2572	0.4438	0.5146	0.3406	0.4132
OSBPL9	0.120907567016109	0.157	0.1932	0.1144	0.1246	0.0867	0.0453	0.0508	0.0214
SGIP1	0.953423079115294	0.7166	0.3378	0.686	0.262	0.0221	0.0187	0.0099	0.0185
ATG4C	0.168966245510874	0.4782	0.1984	0.2552	0.16	0.0461	0.0342	0.0436	0.0334
SPATA6	0.39453061559305	0.9314	0.6968	0.9348	0.619	0.3638	0.336	0.175	0.1984
TUT4	0.375702884882438	0.4556	0.4398	0.4578	0.4508	0.218	0.3384	0.228	0.342
NFIA	0.834471486460945	0.8992	0.9366	0.8774	0.9058	0.0172	0.0148	0.0214	0.0256
NEGR1	0.704192254681117	0.9646	0.9144	0.9492	0.8992	0.549	0.614	0.3072	0.492
PDE4B	0.241745213816682	0.7562	0.8642	0.6818	0.8366	0.074	0.0566	0.0697	0.059
FAF1	0.525324646267765	0.8398	0.8232	0.8066	0.8072	0.0304	0.0144	0.0126	0.0044
_ENSG00000036549	0.0717740200164111	0.8814	0.7918	0.7396	0.7096	0.1614	0.139	0.1594	0.1238
PKN2	0.269703637134709					0.7042	0.9482	0.6484	0.9538
EVI5	0.808379020445888	0.3502	0.468	0.3646	0.4614	0.0794	0.1102	0.0964	0.1222
PTBP2	0.489256470031378	0.3472	0.4218	0.3454	0.3746	0.0398	0.0355	0.0463	0.0351
ZNF644	0.80519263512033	0.2476	0.218	0.1528	0.1232	0.234	0.2178	0.1298	0.142
TTLL7	0.499563314478073	0.4148	0.3086	0.3608	0.249	0.121	0.0925	0.0564	0.0458
PRKACB	0.0484757065035467	0.0786	0.0715	0.0801	0.0806	0.8256	0.9142	0.6868	0.9008
AK5	0.265822556131837	0.598	0.4276	0.522	0.2762	0.1892	0.1426	0.137	0.0855
DIPK1A	0.557144920338618	0.679	0.5044	0.5962	0.3668	0.2164	0.1128	0.0263	0.0085
ST6GALNAC3	0.08479359274364	0.1066	0.1104	0.0892	0.0901	0.332	0.3506	0.313	0.3306
DPYD	0.291468246117212	0.7666	0.6814	0.3968	0.3578	0.1612	0.1248	0.0343	0.0313
CCDC18-AS1	0.197656404530562	0.3822	0.5268	0.3154	0.479	0.9106	0.851	0.8998	0.8918
