gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.60526635402131	0.0274	0.0421	0.0472	0.0949	0.5884	0.4178	0.3992	0.2406
KIF1B	0.560806080080265	0.7194	0.9388	0.7472	0.997	0.9264	0.8498	0.9928	0.9466
GNB1	0.120627995266482	0.6734	0.944	0.6028	0.9994	0.6572	0.5426	0.6558	0.53
PRDM2	0.0512934556244402	0.008	0.0112	0.0095	0.0104	0.3408	0.5894	0.344	0.6126
RERE	0.503268792241035	0.365	0.2348	0.2846	0.1718	0.9712	0.886	0.902	0.7264
CLSTN1	0.401198529698064	0.1978	0.2086	0.1512	0.1464	0.3384	0.2192	0.1762	0.1146
CAMTA1	0.996282747255537	0.809	0.837	0.8642	0.7918	0.6802	0.869	0.6352	0.7252
ISG15	0.829345046714659	0.7992	0.6698	0.864	0.7018	0.7222	0.5886	0.6452	0.4896
HES4	0.125270759068967	0.555	0.655	0.495	0.5234	0.598	0.4888	0.4614	0.382
MTATP6P1	0.66030644980437	0.4836	0.3884	0.526	0.3906	0.5694	0.3496	0.361	0.1646
SPEN	0.933059011153973	0.6412	0.7418	0.5694	0.694	0.8114	0.9264	0.885	0.7896
CDC42	0.188461629430807	0.666	0.7864	0.6174	0.757	0.2978	0.1988	0.1654	0.0832
EIF4G3	0.504049722437373	0.0058	0.007	0.0112	0.0079	0.9372	0.883	0.893	0.814
CAPZB	0.688434111650173	0.8036	0.8502	0.761	0.798	0.2702	0.4496	0.2958	0.477
SRSF4	0.919211321798612	0.6118	0.8348	0.4844	0.6536	0.7218	0.748	0.7026	0.7314
ECE1	0.516726349864232	0.769	0.7908	0.726	0.6746	0.8864	0.8572	0.8434	0.7976
ID3	0.356359886720253	0.7064	0.6868	0.8476	0.795	0.9146	0.9388	0.7738	0.9432
RSRP1	0.527269921787638	0.7006	0.59	0.8404	0.7028	0.2666	0.3952	0.1596	0.326
STMN1	0.429756571077396	0.766	0.7804	0.7792	0.8176	0.4086	0.222	0.2772	0.106
ARID1A	0.502817293003389					0.844	0.8446	0.8546	0.8064
STX12	0.0627748186488026	0.4666	0.5618	0.4894	0.5892	0.9296	0.8206	0.8438	0.6654
IFI6	0.602831870765451	0.345	0.1838	0.3044	0.1316	0.7602	0.7098	0.7584	0.6838
HP1BP3	0.754586187680985	0.9202	0.5588	0.9722	0.6358	0.7674	0.7392	0.782	0.8068
ATP5IF1	0.750784926395067					0.5274	0.317	0.44	0.2038
RPL11	0.1641445298051					0.8582	0.7216	0.8926	0.719
WASF2	0.213564392468361	0.127	0.114	0.108	0.1282	0.9846	0.9416	0.9698	0.9452
CAMK2N1	0.105320197841448	0.5	0.691	0.3986	0.5894	0.6192	0.4798	0.4742	0.3484
CLIC4	0.330686950926935	0.529	0.8656	0.48	0.9392	0.51	0.7196	0.6034	0.8302
LUZP1	0.50765753747052	0.4192	0.8412	0.406	0.8342	0.4918	0.4556	0.3918	0.3758
SRSF10	0.993481521173724	0.5938	0.7006	0.5336	0.6564	0.4488	0.2706	0.2778	0.1524
PHACTR4	0.262120546633883	0.6992	0.624	0.651	0.5654	0.7278	0.8106	0.7432	0.856
SCMH1	0.361266190622356	0.4128	0.4332	0.254	0.2866	0.3374	0.2024	0.2854	0.1782
THRAP3	0.863662124211986					0.8168	0.8662	0.8362	0.9094
TIE1	0.903007329689559	0.9014	0.9006	0.976	0.9694	0.985	0.7836	0.8998	0.7992
SFPQ	0.843843010125281					0.783	0.96	0.8216	0.9444
SLC2A1	0.30036433550877	0.2938	0.3482	0.2944	0.332	0.7996	0.8168	0.6586	0.8114
PRDX1	0.332135915394923					0.6442	0.5096	0.5022	0.3964
KHDRBS1	0.611621299091348	0.3434	0.2452	0.3354	0.2548	0.4058	0.58	0.404	0.619
AGO3	0.394741659554453	0.2728	0.351	0.1902	0.27	0.4496	0.2644	0.452	0.286
MACF1	0.778759516894961	0.9514	0.9484	0.9684	0.8806	0.3144	0.2664	0.4222	0.3688
PUM1	0.524524358504651	0.8872	0.9262	0.889	0.9258	0.4528	0.3378	0.2854	0.194
AGO4	0.0461382699350609					0.5512	0.3704	0.4512	0.351
RPS8	0.531949741635656	0.2174	0.223	0.2022	0.2064	0.9764	0.8274	0.9834	0.8162
ZMYM4	0.182732884332045	0.722	0.8312	0.7158	0.8744	0.313	0.115	0.4044	0.1898
ZSWIM5	0.80917532265763	0.7422	0.6988	0.7732	0.6926	0.9134	0.9862	0.818	0.991
MFSD2A	0.595339652295152					0.796	0.8672	0.6268	0.8482
NDUFS5	0.457051889236544	0.507	0.4852	0.2862	0.2636	0.6828	0.516	0.6318	0.4182
RNF220	0.405522640478461	0.1448	0.2668	0.1454	0.3726	0.7056	0.7216	0.851	0.8712
FOXJ3	0.403777485512831	0.5926	0.2874	0.6292	0.3206	0.6162	0.6328	0.5366	0.5366
LRRC7	0.102479826073614					0.6618	0.4694	0.7522	0.5816
EPS15	0.935481811290409	0.5024	0.474	0.6328	0.569	0.785	0.8428	0.72	0.8132
TMEM59	0.994878276802105	0.186	0.199	0.0745	0.0965	0.3506	0.3394	0.2042	0.2294
LEPR	0.678411107214315					0.5258	0.8158	0.3074	0.6366
SRSF11	0.205544470736606	0.4508	0.8368	0.372	0.6922	0.7278	0.7096	0.7104	0.7302
OSBPL9	0.746572861930185					0.4524	0.3496	0.3682	0.2538
SGIP1	0.124684428115328					0.7476	0.5704	0.8648	0.6386
ZRANB2	0.803452679352074	0.4894	0.5524	0.5878	0.6718	0.6898	0.5802	0.627	0.552
PATJ	0.270116760936621	0.426	0.4144	0.287	0.3226	0.3772	0.2124	0.235	0.1228
TUT4	0.6856430982082	0.745	0.5486	0.62	0.4264	0.759	0.993	0.7816	0.9958
LRP8	0.987356639747223	0.8826	0.7218	0.7518	0.5796	0.721	0.5222	0.714	0.4938
CACHD1	0.466965508871934					0.5522	0.552	0.615	0.6266
JAK1	0.488769857178818	0.1678	0.1052	0.14	0.0789	0.7702	0.4666	0.7844	0.4328
NFIA	0.910914085113876	0.139	0.05	0.1518	0.0476	0.5734	0.4342	0.6522	0.558
NEGR1	0.214323622239557	0.4796	0.4874	0.3414	0.3496	0.8848	0.8212	0.966	0.8912
DAB1	0.879473733123579	0.8024	0.7706	0.767	0.6636	0.5988	0.5994	0.5958	0.6196
JUN	0.931965916464702	0.8324	0.8544	0.8232	0.8506	0.8222	0.8066	0.5942	0.6094
PDE4B	0.259995428958293	0.0216	0.0174	0.0174	0.0083	0.477	0.5302	0.5086	0.6002
FAF1	0.536400726966366					0.5456	0.4506	0.5192	0.5294
_ENSG00000036549	0.300909581126755	0.7114	0.7828	0.6172	0.6476	0.2006	0.0056	0.161	0.0045
PKN2	0.952864421750142	0.5094	0.545	0.5862	0.599	0.2382	0.4926	0.2786	0.5612
USP33	0.573373750522216	0.1026	0.0767	0.0957	0.0598	0.3528	0.4708	0.2992	0.4802
CDC14A	0.833292089281824	0.218	0.2244	0.19	0.1608	0.1386	0.0745	0.123	0.0723
PALMD	0.0977880407078439	0.0449	0.0453	0.0631	0.0616	0.9086	0.8414	0.762	0.8486
ADGRL2	0.510952861162508	0.7078	0.9398	0.5474	0.8756	0.998	0.8716	0.9838	0.8878
PTBP2	0.475030964543922	0.4982	0.4922	0.5586	0.5048	0.7626	0.8598	0.8334	0.884
PLPPR4	0.34567272554656	0.347	0.346	0.1878	0.1592	0.6546	0.4248	0.4728	0.223
RPL5	0.235339199845065	0.946	0.7374	0.8942	0.6468	0.9894	0.9386	0.9866	0.9452
ODF2L	0.621771300058366	0.016	0.033	0.014	0.0275	0.9868	0.8612	0.8812	0.902
