gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
GNB1	0.287455013297371					0.4922	0.6418	0.4014	0.5888
SLC2A5	0.383231084443489	0.0351	0.1862	0.07	0.1976	0.6126	0.6018	0.5036	0.543
RERE	0.318165356427366	0.8162	0.9402	0.7082	0.9384	0.1932	0.226	0.1458	0.1694
EIF4G3	0.854941799778894	0.6908	0.7722	0.6234	0.6916	0.2402	0.2664	0.174	0.2246
CAPZB	0.905900360256519	0.3238	0.326	0.2064	0.2442	0.5272	0.5742	0.4552	0.5294
STMN1	0.174502077259581					0.3822	0.4714	0.2848	0.3594
ARID1A	0.451079119003923	0.7442	0.7496	0.5376	0.5544	0.2316	0.247	0.1784	0.2044
WASF2	0.26953013652114					0.4058	0.4852	0.321	0.401
EPB41	0.538278368963787	0.0057	0.0039	0.0502	0.048	0.6198	0.5988	0.4406	0.4692
C1QC	0.024227305309812					0.3798	0.4416	0.3002	0.3746
C1QB	0.00306698866204527	0.3354	0.5186	0.3964	0.609	0.4812	0.4942	0.3668	0.4062
C1QA	0.00953015289826706	0.211	0.2506	0.1788	0.2284	0.293	0.3544	0.2478	0.3108
SMAP2	0.360221223759601	0.165	0.221	0.1806	0.2166	0.4422	0.551	0.3978	0.4924
CSF3R	0.453190921908021					0.1962	0.2618	0.1422	0.1808
HIVEP3	0.742989126375664	0.9588	0.9356	0.9284	0.9466	0.3818	0.412	0.23	0.2724
MACF1	0.772006992929583	0.0084	0.0287	0.0551	0.0737	0.3562	0.5118	0.3728	0.5434
PUM1	0.915146348622534	0.6236	0.8412	0.5366	0.8142	0.456	0.4896	0.48	0.5174
LAPTM5	0.921754155473067	0.8122	0.5558	0.7166	0.4932	0.2734	0.349	0.2226	0.3056
MKNK1	0.896923011198679	0.4108	0.384	0.3822	0.361	0.4776	0.5292	0.359	0.4496
NFIA	0.701180728494234	0.7034	0.7204	0.6318	0.6794	0.135	0.1258	0.1696	0.1636
PDE4B	0.452771578628828	0.6234	0.6634	0.433	0.5442	0.528	0.561	0.4874	0.5188
FAF1	0.422266490678091					0.181	0.1906	0.1568	0.1822
PKN2	0.734448460742096					0.4064	0.4724	0.299	0.3726
EVI5	0.215643152090892	0.0088	0.0118	0.0632	0.0465	0.1256	0.1438	0.1216	0.1266
ST6GALNAC3	0.0176899560211165	0.1594	0.3198	0.1932	0.3638	0.2536	0.3094	0.211	0.2496
CCDC18-AS1	0.0849892113136624	0.8698	0.8184	0.7774	0.7908	0.4468	0.5382	0.334	0.4244
RAP1A	0.495377054027524	0.11	0.2532	0.144	0.2966	0.3386	0.4062	0.251	0.3252
PRPF38B	0.889684640585113	0.8558	0.701	0.8654	0.7414	0.1426	0.1614	0.1588	0.1586
CTTNBP2NL	0.441094691954705	0.2424	0.3526	0.2488	0.349	0.4162	0.4852	0.3134	0.4242
CD53	0.899117888312448	0.7244	0.679	0.569	0.628	0.2966	0.3728	0.2436	0.3038
SRGAP2C	0.930837618313968	0.0289	0.103	0.0673	0.1388	0.512	0.5116	0.3976	0.4128
SRGAP2B	0.928032629761177	0.0192	0.1082	0.0622	0.169	0.4252	0.4476	0.3114	0.338
LINC02798	0.0448700009525923	0.7088	0.7472	0.629	0.6708	0.3008	0.3464	0.2378	0.2874
ASH1L	0.797869692200618					0.3622	0.5036	0.258	0.4246
ATF6	0.58809520131361	0.8038	0.7224	0.7776	0.6922	0.4328	0.5404	0.3612	0.49
COP1	0.274124948540723	0.4708	0.2792	0.359	0.2428	0.1636	0.1582	0.1356	0.1506
RABGAP1L	0.945230941846736	0.7282	0.78	0.5846	0.7508	0.4414	0.6322	0.3134	0.5442
IFI16	0.321623611118375	0.9234	0.9768	0.9162	0.922	0.4414	0.5096	0.3598	0.4282
RCSD1	0.706108750064359	0.6934	0.9642	0.6706	0.9558	0.3272	0.4214	0.2352	0.3504
RASAL2	0.097608622149241	0.9842	0.8124	0.979	0.8204	0.2966	0.3888	0.2322	0.3392
PTPRC_ENSG00000081237	0.953690241884754	0.1748	0.2214	0.1872	0.2466	0.4456	0.4656	0.3546	0.3806
NPL	0.154280242605414	0.164	0.2596	0.1758	0.2788	0.4726	0.5276	0.375	0.4522
FAM177B	0.742728233027273	0.8102	0.7174	0.624	0.5424	0.3364	0.3832	0.2812	0.3302
SRGAP2	0.657540828219159	0.7578	0.9278	0.7444	0.9092	0.5016	0.463	0.3772	0.3568
ARID4B	0.128946318389537	0.4772	0.5218	0.4704	0.5264	0.1292	0.1424	0.151	0.165
SDCCAG8_ENSG00000054282	0.518446918329882	0.9822	0.6996	0.9484	0.7386	0.3956	0.4404	0.2896	0.336
SIPA1L2	0.0857863572596896	0.9244	0.8746	0.9168	0.9062	0.3402	0.432	0.2926	0.384
