gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
DNAJC11	0.0656	0.0538	0.0304	0.0314
VPS13D	0.3288	0.417	0.2316	0.3236
PER3	0.6834	0.466	0.6658	0.4342
KIF1B	0.2336	0.3026	0.18	0.2474
PRKCZ	0.1912	0.1214	0.0898	0.0436
KCNAB2	0.073	0.1394	0.0508	0.0984
ENO1	0.4858	0.4638	0.4524	0.4382
GNB1	0.9582	0.966	0.9626	0.9674
SDF4	0.69	0.497	0.4824	0.2484
ACOT7	0.1656	0.178	0.18	0.1898
CEP104	0.44	0.4878	0.36	0.3956
RPL22	0.0224	0.057	0.0067	0.015
CHD5	0.4366	0.3004	0.1168	0.0555
ERRFI1	0.284	0.2714	0.2796	0.2486
PARK7	0.2358	0.2558	0.2038	0.2014
SRM	0.789	0.834	0.7268	0.7842
FBXO2	0.8262	0.9752	0.7756	0.9738
MFN2	0.9364	0.9466	0.9296	0.942
PRDM2	0.0845	0.0574	0.083	0.0574
INTS11	0.3604	0.317	0.2854	0.234
LRRC47	0.325	0.3568	0.3176	0.3904
UBE4B	0.1276	0.1138	0.0389	0.0491
ACAP3	0.2706	0.198	0.0337	0.0179
C1orf159	0.1492	0.1184	0.1314	0.1064
NPHP4	0.3422	0.4932	0.266	0.409
FBXO44	0.245	0.2446	0.2284	0.2108
RERE	0.4362	0.3834	0.4352	0.3688
CFAP74	0.384	0.447	0.2668	0.3238
FHAD1	0.7654	0.5126	0.7138	0.451
PEX14	0.0384	0.028	0.0419	0.0284
PLCH2_ENSG00000149527	0.5306	0.3164	0.2702	0.0731
RER1	0.4168	0.2956	0.2772	0.1788
SKI	0.5642	0.7106	0.4464	0.6362
TPRG1L	0.147	0.2474	0.1042	0.1958
DFFA	0.3252	0.167	0.2702	0.1216
ATAD3B	0.2176	0.117	0.1082	0.0631
SSU72	0.9878	0.9938	0.9848	0.9958
UBE2J2	0.8984	0.8208	0.8036	0.7086
NOL9	0.0401	0.0427	0.0496	0.0623
SLC45A1	0.063	0.0493	0.0572	0.0551
LZIC	0.3248	0.2672	0.193	0.1952
CLSTN1	0.285	0.3702	0.2032	0.2702
SLC25A33	0.2244	0.1658	0.2278	0.1692
PLEKHG5	0.5936	0.8054	0.587	0.7928
CAMTA1	0.964	0.7822	0.96	0.7746
EXOSC10	0.2046	0.167	0.1588	0.1184
NMNAT1	0.7444	0.604	0.722	0.599
AURKAIP1	0.373	0.3362	0.2626	0.1888
MTHFR	0.6112	0.653	0.5846	0.6258
CTNNBIP1	0.3254	0.2264	0.2974	0.2072
GABRD	0.7824	0.9762	0.743	0.979
NOC2L	0.752	0.98	0.7174	0.9772
KAZN	0.1398	0.1556	0.1552	0.1566
MMP23B	0.1358	0.0754	0.097	0.0566
AJAP1	0.9944	0.834	0.9962	0.8476
MIB2	0.7326	0.606	0.4112	0.2124
MTOR	0.1554	0.2206	0.1348	0.177
TNFRSF25	0.4988	0.4018	0.3844	0.2592
CCNL2	0.2854	0.2122	0.2384	0.1312
LINC01128	0.5682	0.691	0.4296	0.6338
_ENSG00000230021	0.9072	0.7464	0.8654	0.6218
_ENSG00000236948	0.6484	0.7792	0.5258	0.6894
_ENSG00000237094	0.0136	0.0145	0.0091	0.0115
LINC01409	0.073	0.0632	0.0902	0.08
MRPL20	0.9326	0.8864	0.932	0.8856
CDK11B	0.0057	0.0169	0.0023	0.01
MTATP6P1	0.2746	0.331	0.15	0.1928
STPG1	0.5646	0.4442	0.3982	0.3302
NIPAL3	0.9818	0.9632	0.9792	0.9528
KDM1A	0.5618	0.5246	0.5888	0.5466
FAM76A	0.4738	0.7848	0.4046	0.7218
FBXO42	0.2594	0.19	0.1506	0.112
PITHD1	0.5576	0.4298	0.4014	0.2296
CROCC	0.0099	0.0111	0.0097	0.0117
SPEN	0.1968	0.5188	0.2008	0.4752
CDC42	0.2156	0.3064	0.1884	0.29
EIF4G3	0.3042	0.1416	0.3062	0.124
RAP1GAP	0.1286	0.0793	0.0298	0.0117
CAPZB	0.0709	0.0762	0.0647	0.0688
CROCCP3	0.0219	0.0142	0.0163	0.013
SLC9A1	0.782	0.8096	0.758	0.8
NUDC	0.1936	0.2816	0.205	0.3168
USP48	0.1152	0.191	0.0678	0.105
DNAJC16	0.0249	0.0359	0.0329	0.0616
OPRD1	0.1296	0.0861	0.1338	0.1078
SRSF4	0.7618	0.704	0.7792	0.7332
MECR	0.2146	0.1882	0.166	0.109
PLEKHM2	0.1778	0.1642	0.216	0.2072
SDHB	0.1638	0.3686	0.1326	0.3042
IGSF21	0.2518	0.2582	0.259	0.2446
KIF17	0.0364	0.0274	0.0242	0.0183
ECE1	0.328	0.318	0.354	0.338
SYF2	0.4548	0.5428	0.442	0.5008
RSRP1	0.0134	0.0086	0.0117	0.0103
STMN1	0.978	0.8414	0.983	0.8396
MAN1C1	0.972	0.9824	0.9596	0.9738
DHDDS	0.0568	0.0874	0.0655	0.096
ARID1A	0.9092	0.9996	0.906	0.9988
STX12	0.2232	0.1804	0.1944	0.1758
TAF12	0.9566	0.8164	0.9308	0.7824
HNRNPR	0.314	0.1806	0.2078	0.1026
DNAJC8	0.4926	0.4602	0.4588	0.4484
AHDC1	0.643	0.696	0.5402	0.6266
EMC1	0.8614	0.7864	0.8556	0.7744
UBR4	0.7394	0.834	0.7266	0.8034
HP1BP3	0.0395	0.0721	0.0219	0.0453
ATP5IF1	0.2054	0.1894	0.2096	0.1982
EPHB2	0.2054	0.2136	0.1638	0.1484
SRRM1	0.1822	0.1926	0.1898	0.196
SH3BGRL3	0.6252	0.5766	0.558	0.536
RPL11	0.5388	0.709	0.4668	0.6456
WDTC1	0.0879	0.0614	0.0781	0.0551
EXTL1	0.6404	0.5134	0.5938	0.413
EYA3	0.9492	0.9902	0.941	0.9896
WASF2	0.4866	0.4	0.4386	0.3438
NBL1	0.475	0.919	0.3168	0.8932
PINK1	0.7158	0.501	0.6872	0.5146
EPB41	0.5398	0.3892	0.2858	0.1526
ATP13A2	0.0944	0.138	0.064	0.1048
GMEB1	0.7236	0.4566	0.6334	0.3876
CAMK2N1	0.186	0.2406	0.0865	0.0853
LUZP1	0.0979	0.142	0.0775	0.1184
OTUD3	0.1622	0.223	0.1072	0.1866
TRNAU1AP	0.3562	0.3588	0.1508	0.1962
TMEM50A	0.5112	0.5502	0.5198	0.5568
TMEM222	0.4772	0.6052	0.4264	0.5634
SRSF10	0.2458	0.288	0.2302	0.2906
DDI2	0.3426	0.3384	0.3758	0.3474
YTHDF2	0.9332	0.9758	0.9274	0.9766
HMGN2	0.9536	0.9324	0.9502	0.9148
PHACTR4	0.327	0.2892	0.193	0.1472
MACO1	0.7226	0.8102	0.7214	0.7786
CROCCP2	0.0655	0.0251	0.1	0.0566
NBPF1	0.985	0.6966	0.9898	0.6882
EMC1-AS1	0.5116	0.7194	0.3534	0.602
_ENSG00000233478	0.7588	0.695	0.6152	0.4492
UQCRHL	0.4952	0.5696	0.4126	0.511
_ENSG00000235912	0.0908	0.1164	0.0588	0.0789
ELOA-AS1	0.8584	0.7928	0.801	0.6892
_ENSG00000240553	0.414	0.2786	0.2346	0.1142
_ENSG00000280114	0.5196	0.8866	0.5704	0.902
AK2	0.099	0.2212	0.0436	0.1258
SCMH1	0.3484	0.3644	0.1086	0.1628
NCDN	0.3056	0.3774	0.24	0.3232
KPNA6	0.3228	0.2212	0.2168	0.1544
TRIT1	0.6288	0.4344	0.562	0.3234
TRAPPC3	0.0107	0.0287	0.0092	0.0267
THRAP3	0.0114	0.0163	0.0028	0.0077
SNRNP40	0.1462	0.1752	0.1294	0.1746
KDM4A	0.6418	0.6168	0.6412	0.6078
NFYC	0.2398	0.2536	0.248	0.2616
TESK2	0.9214	0.9014	0.892	0.8718
EIF2B3	0.5258	0.379	0.2746	0.195
SMAP2	0.4254	0.5904	0.2962	0.5102
PPIE	0.7718	0.8364	0.7826	0.8552
ZMPSTE24	0.9036	0.88	0.9	0.856
EIF3I	0.889	0.8748	0.8828	0.8576
NKAIN1	0.4422	0.5264	0.4224	0.522
COL16A1	0.0183	0.0086	0.0233	0.0105
POMGNT1	0.834	0.879	0.797	0.846
MAST2	0.2668	0.154	0.2206	0.1228
AGO1	0.0857	0.0524	0.0929	0.0622
S100PBP	0.5406	0.59	0.4478	0.5214
DLGAP3	0.275	0.5268	0.3098	0.5276
SFPQ	0.5288	0.4128	0.4306	0.3256
MAP7D1	0.7844	0.8622	0.7142	0.8294
OSCP1	0.8036	0.9922	0.764	0.9926
HPCAL4	0.0883	0.1346	0.0738	0.1096
RLF	1e-04	2e-04	3e-04	3e-04
RIMS3	0.362	0.4022	0.3386	0.4106
EBNA1BP2	0.1134	0.124	0.0796	0.0917
IPO13	0.8524	0.7326	0.839	0.7174
ATP6V0B	0.6936	0.456	0.6238	0.3464
B4GALT2	0.7362	0.644	0.5184	0.3494
ERI3	0.5194	0.4022	0.261	0.185
PTCH2	0.1266	0.1586	0.1386	0.1902
PRDX1	0.502	0.4108	0.5278	0.4272
FAAH	0.6262	0.7478	0.483	0.6604
NSUN4	0.1598	0.38	0.0237	0.1742
ADGRB2	0.5642	0.2772	0.326	0.0775
ZCCHC17	0.8434	0.6548	0.82	0.5762
FABP3	0.721	0.9312	0.685	0.911
KHDRBS1	0.1176	0.2422	0.0996	0.2206
TMEM39B	0.167	0.2496	0.154	0.2322
CSMD2	0.3868	0.469	0.337	0.4334
HPCA	0.5444	0.6266	0.4702	0.5804
PSMB2	0.7906	0.932	0.7206	0.9134
AGO3	0.2028	0.1448	0.16	0.1062
ST3GAL3	0.0325	0.0414	0.016	0.02
HIVEP3	0.5552	0.4298	0.4434	0.314
MACF1	0.1526	0.1774	0.1556	0.1724
CAP1	0.3548	0.6324	0.3404	0.608
PPT1	0.7352	0.5114	0.7378	0.5016
LRRC41	0.4638	0.4474	0.455	0.4444
NASP	0.1438	0.1304	0.1146	0.127
PUM1	0.0287	0.0468	0.0296	0.053
YARS1	0.1658	0.1468	0.0608	0.0585
PHC2	0.0643	0.0713	0.0665	0.0719
AGO4	0.311	0.4664	0.1222	0.3142
C1orf216	0.9972	0.8944	0.9982	0.8826
KIAA0319L	0.2456	0.1786	0.214	0.1518
AZIN2	0.1116	0.1352	0.0671	0.0925
RPS8	0.811	0.9018	0.7778	0.858
PTPRF	0.9276	0.8884	0.912	0.8618
ZMYM4	0.7766	0.9528	0.7078	0.9462
RHBDL2	0.868	0.7412	0.8264	0.6672
CCDC24	0.0326	0.0284	0.0299	0.0311
GPBP1L1	0.8026	0.9752	0.8046	0.9754
BSDC1	0.7384	0.673	0.5924	0.5308
ZNF362	0.3196	0.2308	0.3228	0.2432
ZSWIM5	0.5098	0.2642	0.4318	0.1942
SDC3	0.7152	0.8372	0.6622	0.81
PEF1	0.3308	0.348	0.254	0.2586
SYNC	0.767	0.7602	0.7064	0.699
RBBP4	0.9224	0.6574	0.9006	0.5852
SMIM12	0.1052	0.1098	0.0643	0.0642
MEAF6	0.5584	0.5814	0.4976	0.5198
NDUFS5	0.8262	0.8586	0.8042	0.8664
UQCRH	0.7996	0.7158	0.7704	0.6806
AKIRIN1	0.9472	0.654	0.9526	0.6562
ZBTB8OS	0.793	0.8304	0.7378	0.7704
RIMKLA	0.4956	0.7694	0.4956	0.7412
DMAP1	0.2608	0.1766	0.148	0.0741
EPHA10	0.3906	0.3042	0.4128	0.3368
SF3A3	0.7618	0.8988	0.634	0.8502
CCDC30	0.512	0.4642	0.4234	0.3816
RNF220	0.0707	0.206	0.0564	0.188
MTF1	0.7778	0.7246	0.6996	0.6026
STK40	0.01	0.0144	0.0121	0.0194
SZT2	0.0054	0.0073	0.0032	0.0085
ARMH1	0.689	0.7114	0.6788	0.6968
FOXJ3	0.9326	0.9746	0.9252	0.9772
INPP5B	0.5208	0.4528	0.3664	0.2698
_ENSG00000228436	0.568	0.9904	0.5598	0.9914
_ENSG00000230955	0.8114	0.5702	0.7376	0.427
_ENSG00000238287	0.5514	0.51	0.4026	0.367
LRRC7	0.1602	0.1542	0.1236	0.1144
PTGER3	0.3252	0.2036	0.125	0.0723
NDC1	0.7286	0.5756	0.7178	0.5544
LRRC40	0.3056	0.2326	0.2418	0.1856
NRDC	0.2204	0.343	0.0764	0.17
MKNK1	0.1556	0.159	0.0408	0.0359
HSPB11	0.3956	0.3272	0.2314	0.1622
EPS15	0.7706	0.9698	0.7778	0.9676
ALG6	0.0195	0.0138	0.0136	0.0104
DHCR24	0.2888	0.3202	0.1608	0.2126
SCP2	0.857	0.9924	0.808	0.989
TMEM59	0.362	0.395	0.2924	0.3074
DOCK7	0.6586	0.9478	0.5514	0.9276
DNAJC6	0.0915	0.0531	0.0178	0.0081
LEPR	0.5498	0.4666	0.5924	0.5122
SLC35D1	0.723	0.7312	0.742	0.745
SRSF11	0.3766	0.3584	0.2068	0.2334
OSBPL9	0.63	0.6518	0.5786	0.6028
TXNDC12	0.0621	0.2112	0.0127	0.0692
ANKRD13C	0.3234	0.3972	0.2806	0.3402
SGIP1	0.8442	0.8226	0.8598	0.8488
ECHDC2	0.2944	0.5278	0.2224	0.432
RNF11	0.2398	0.2866	0.0906	0.1102
ATPAF1	0.8536	0.7808	0.8354	0.7198
ATG4C	0.6304	0.8032	0.6388	0.7924
SPATA6	0.5694	0.6618	0.5062	0.6044
ZRANB2	0.8114	0.8234	0.7866	0.794
PATJ	0.3934	0.634	0.2924	0.5856
HOOK1	0.7786	0.7974	0.7012	0.7682
BTF3L4	0.816	0.847	0.8224	0.8486
TUT4	0.7494	0.8432	0.665	0.7612
ITGB3BP	0.2326	0.2414	0.1568	0.1496
SERBP1	0.6252	0.4722	0.5516	0.413
WDR78	0.8976	0.9038	0.8774	0.869
ZFYVE9	0.1106	0.0631	0.1034	0.067
LRP8	0.5386	0.8396	0.54	0.8432
SSBP3	0.238	0.2958	0.1574	0.2154
CACHD1	0.591	0.3968	0.5136	0.3554
EFCAB14	0.2942	0.549	0.266	0.5206
CMPK1	0.2902	0.465	0.1306	0.3542
ELAVL4	0.0778	0.1096	0.0405	0.0565
ZYG11B	0.1692	0.1912	0.0995	0.1016
MAGOH	0.7854	0.7502	0.7176	0.6518
ACOT11	0.4156	0.448	0.2902	0.319
USP24	0.3556	0.2058	0.3322	0.197
PRKAA2	0.1792	0.101	0.1952	0.1242
AK4	0.8944	0.8634	0.9006	0.8828
JAK1	0.6296	0.5922	0.5298	0.5054
RAVER2	0.1704	0.1886	0.1768	0.1818
NFIA	0.1368	0.1164	0.0751	0.0399
MYSM1	0.0283	0.0162	0.0037	0.003
TM2D1	0.3456	0.2908	0.2556	0.1862
NEGR1	0.1482	0.139	0.0801	0.0715
FGGY	0.6916	0.6642	0.474	0.5048
DAB1	0.7068	0.7574	0.6082	0.6586
GLIS1	0.4156	0.3316	0.4084	0.3304
JUN	0.5982	0.6682	0.5434	0.608
PDE4B	0.8394	0.944	0.768	0.9182
FAF1	0.5908	0.6298	0.5084	0.5624
AGBL4	0.887	0.9528	0.896	0.9568
CYP4X1	0.17	0.1682	0.1528	0.1416
MIER1	0.7334	0.9136	0.7288	0.9162
EFCAB7	0.7916	0.8022	0.7436	0.7506
LINC01748	0.738	0.5366	0.72	0.498
_ENSG00000229294	0.5776	0.533	0.4702	0.3586
ZRANB2-AS2	0.874	0.6594	0.8418	0.513
GCLM	0.4306	0.365	0.4278	0.3786
_ENSG00000036549	0.4	0.322	0.3304	0.2452
MSH4	0.1734	0.3268	0.1594	0.2676
COL11A1	0.5636	0.8334	0.481	0.7938
PKN2	0.032	0.0346	0.0304	0.0291
EVI5	0.38	0.392	0.371	0.3722
USP33	0.1654	0.4124	0.1194	0.3274
SH3GLB1	0.2706	0.1916	0.092	0.0852
CDC7	0.9756	0.8966	0.9804	0.9006
PALMD	0.8624	0.8662	0.8238	0.8152
ACADM	0.5892	0.5844	0.5576	0.526
ST6GALNAC5	0.7218	0.8026	0.737	0.7994
ADGRL2	0.8362	0.6092	0.832	0.5492
SSX2IP	0.0162	0.0232	0.0048	0.0054
ZNHIT6	0.6958	0.6914	0.7068	0.6742
ABCD3	0.4994	0.4208	0.2466	0.208
PTBP2	0.6752	0.9934	0.6486	0.9958
PLPPR5	0.1066	0.0563	0.112	0.0611
PLPPR4	0.2386	0.2674	0.0664	0.077
SLC35A3	0.3014	0.3096	0.362	0.3384
OLFM3	0.0424	0.0253	0.0322	0.0177
RPL5	0.426	0.5	0.324	0.3896
ODF2L	0.3384	0.2998	0.2806	0.2344
TRMT13	0.7238	0.7804	0.6586	0.6908
ZNF644	0.1682	0.1412	0.1504	0.1244
CCDC18	0.6518	0.4548	0.535	0.281
RPAP2	0.1284	0.1316	0.0403	0.0674
BCAR3	0.7036	0.7028	0.6216	0.6352
TTLL7	0.5366	0.7662	0.3414	0.6822
FNBP1L	0.3362	0.3812	0.2592	0.3072
KYAT3	0.492	0.5756	0.4524	0.504
GTF2B	0.0411	0.0453	0.0117	0.0087
GIPC2	0.4224	0.8622	0.435	0.8584
ARHGAP29	0.7198	0.8584	0.6512	0.8402
SLC44A5	0.9028	0.8478	0.853	0.8242
RPL7P9	0.3744	0.5496	0.273	0.4218
DBT	0.068	0.1084	0.0577	0.1096
RTCA	0.3868	0.3948	0.2144	0.2386
PRKACB	0.1034	0.1158	0.0545	0.0543
PIGK	0.0315	0.0641	0.0307	0.0602
LMO4	0.2846	0.3684	0.113	0.163
MTF2	0.4906	0.4398	0.4176	0.3428
DDAH1	0.7212	0.9588	0.6794	0.945
HS2ST1	0.1368	0.1788	0.1282	0.1538
AK5	0.0967	0.0879	0.0666	0.0716
DIPK1A	0.216	0.3178	0.1962	0.2964
MFSD14A	0.4916	0.785	0.329	0.7024
FUBP1	0.4312	0.257	0.3834	0.2418
TYW3	0.7244	0.5668	0.6818	0.5042
SNX7	0.3076	0.2228	0.26	0.1122
NTNG1	0.6704	0.5526	0.594	0.452
C1orf52	0.7726	0.654	0.7958	0.6726
ZNF326	0.8804	0.6768	0.8342	0.6272
