gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
KIF1B	0.9178	0.8714	0.8926	0.8316
PRKCZ	0.0811	0.069	0.0797	0.0587
KCNAB2	0.4852	0.5256	0.4826	0.4978
ENO1	0.6744	0.9964	0.5332	0.9944
GNB1	0.2476	0.2798	0.2548	0.2912
ACOT7	0.3958	0.3852	0.403	0.4064
CHD5	0.0337	0.0267	0.0172	0.0142
PARK7	0.1184	0.1322	0.108	0.0945
FBXO2	0.428	0.444	0.3808	0.4008
PRDM2	0.6418	0.7568	0.673	0.7628
FBXO44	0.9192	0.6168	0.8988	0.5698
RERE	0.8466	0.851	0.7474	0.8434
TPRG1L	0.6506	0.9772	0.591	0.9722
SSU72	0.0513	0.0295	0.0546	0.0344
CLSTN1	0.692	0.6818	0.6456	0.6456
CAMTA1	0.986	0.9902	0.9792	0.9856
AURKAIP1	0.4514	0.427	0.459	0.4236
GABRD	0.0704	0.0452	0.0297	0.0148
MTATP6P1	0.8726	0.896	0.8746	0.8776
PITHD1	0.1916	0.1876	0.167	0.1572
CDC42	0.7682	0.8872	0.7396	0.8462
EIF4G3	0.007	0.0058	0.0069	0.0068
RAP1GAP	0.1606	0.0807	0.1404	0.0587
CAPZB	0.192	0.163	0.167	0.1312
IGSF21	0.5426	0.5098	0.5454	0.5222
STMN1	0.5548	0.0784	0.4298	0.0316
IFI6	0.1252	0.037	0.0797	0.0187
HP1BP3	0.3176	0.4078	0.347	0.4322
ATP5IF1	0.0033	0.0053	0.0021	0.0025
SH3BGRL3	0.1264	0.2558	0.1182	0.2202
RPL11	0.7488	0.6458	0.674	0.5352
NBL1	0.29	0.1136	0.1774	0.0708
PINK1	0.469	0.7404	0.5166	0.738
ATP13A2	0.1946	0.1326	0.0838	0.07
CAMK2N1	0.2944	0.3846	0.1378	0.1834
TMEM50A	0.978	0.903	0.978	0.9096
UQCRHL	0.8244	0.7244	0.7634	0.6522
_ENSG00000235912	0.1804	0.102	0.147	0.0972
_ENSG00000280114	0.0049	0.0052	0.0092	0.0086
NCDN	0.7518	0.634	0.7652	0.6446
SMAP2	0.1268	0.1696	0.1402	0.1608
HPCAL4	0.4648	0.563	0.3896	0.5064
RIMS3	0.6742	0.6126	0.6542	0.584
ATP6V0B	0.0154	0.0137	0.014	0.0139
ERI3	0.3676	0.4344	0.4092	0.4676
PRDX1	0.8396	0.8274	0.7686	0.7626
ADGRB2	0.0953	0.0368	0.0032	0.0014
ZCCHC17	0.7314	0.4204	0.6014	0.2124
FABP3	0.8434	0.9308	0.809	0.9236
HPCA	0.4582	0.4922	0.363	0.4312
PSMB2	0.7844	0.6554	0.7722	0.6234
MACF1	0.277	0.4952	0.177	0.447
PPT1	0.2528	0.2396	0.123	0.0722
PUM1	0.0619	0.145	0.0745	0.1708
C1orf216	0.7562	0.5628	0.7416	0.5412
RPS8	0.9332	0.9918	0.907	0.9856
PTPRF	0.467	0.4118	0.4978	0.4306
SDC3	0.4522	0.3194	0.477	0.3468
MEAF6	0.1136	0.1104	0.0764	0.066
NDUFS5	0.0961	0.2686	0.0645	0.1902
UQCRH	0.9052	0.8318	0.8796	0.8052
RNF220	0.0015	0.0014	0.0048	0.0083
LRRC7	0.6632	0.9012	0.592	0.8908
EPS15	0.7126	0.8736	0.6748	0.8298
DHCR24	0.0311	0.027	0.0291	0.0193
TMEM59	0.3288	0.3864	0.1976	0.2234
DNAJC6	0.2504	0.3214	0.2492	0.3428
SRSF11	0.2402	0.2704	0.2028	0.2352
SGIP1	0.8142	0.606	0.8248	0.5884
RNF11	0.9654	0.5626	0.9456	0.4092
SSBP3	0.0023	0.0094	0.0047	0.0135
ELAVL4	0.1238	0.1094	0.1256	0.0975
ZYG11B	0.3456	0.4534	0.3544	0.4524
JAK1	0.1936	0.1164	0.1912	0.1038
NEGR1	0.225	0.3392	0.2082	0.279
PDE4B	0.8124	0.571	0.795	0.5364
AGBL4	0.497	0.7626	0.4868	0.7496
USP33	0.7286	0.5876	0.7088	0.555
ST6GALNAC5	0.7732	0.9796	0.763	0.9708
ADGRL2	0.2052	0.3356	0.2106	0.286
SSX2IP	0.3672	0.3826	0.2788	0.3326
PLPPR4	0.9722	0.8956	0.963	0.8652
OLFM3	0.1362	0.1388	0.1192	0.1136
RPL5	0.1138	0.1764	0.0756	0.1364
TTLL7	0.7464	0.5304	0.7604	0.5602
RPL7P9	0.5964	0.6368	0.5904	0.636
PRKACB	0.5038	0.5176	0.3284	0.3684
LMO4	0.317	0.2452	0.2752	0.2262
DDAH1	0.428	0.534	0.4152	0.521
AK5	0.9856	0.9162	0.9762	0.9264
C1orf52	0.1008	0.1044	0.1092	0.1094
EXTL2	0.2912	0.321	0.1442	0.1856
MIGA1	0.9764	0.9818	0.9732	0.9828
LRRC8B	0.296	0.2932	0.2456	0.2658
_ENSG00000224550	0.0382	0.065	0.0155	0.0158
CSDE1	0.0063	0.0082	0.0126	0.0189
SARS1	0.1952	0.1482	0.1226	0.1106
WDR47	0.637	0.8998	0.6368	0.8918
ATP5PB	0.3734	0.3918	0.3132	0.2948
SORT1	0.4164	0.3388	0.3492	0.2214
LAMTOR5	0.7604	0.8166	0.7286	0.7862
CELSR2	0.8946	0.863	0.8874	0.854
ATP1A1	0.9472	0.9262	0.916	0.9042
AHCYL1	0.952	0.6882	0.9504	0.6986
KCNA2	0.5054	0.352	0.508	0.3262
SLC6A17	0.8498	0.7766	0.7946	0.7084
MAN1A2	0.6802	0.6198	0.5962	0.5186
