gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
KIF1B	0.4438	0.4478	0.3296	0.31
ENO1	0.096	0.065	0.0937	0.0596
RERE	0.122	0.139	0.1124	0.1232
PRDM16	0.1668	0.1	0.1672	0.1236
CLSTN1	0.137	0.076	0.0611	0.0343
CAMTA1	0.4922	0.5102	0.501	0.4944
EIF4G3	0.3036	0.3046	0.2766	0.269
STMN1	0.0949	0.0597	0.0549	0.0358
MACF1	0.0299	0.0265	0.0672	0.0469
DOCK7	0.1882	0.1518	0.1802	0.1654
SGIP1	0.7974	0.7618	0.7386	0.6756
ECHDC2	0.5316	0.773	0.5288	0.7588
TUT4	0.9796	0.9738	0.9664	0.9542
CACHD1	0.3386	0.295	0.2906	0.2558
ACOT11	0.8364	0.9876	0.825	0.9876
PLPP3	0.3728	0.2828	0.2862	0.2432
NFIA	0.1196	0.0723	0.1348	0.0859
NEGR1	0.7862	0.804	0.6484	0.736
PDE4B	0.6614	0.9084	0.6648	0.8986
FAF1	0.0593	0.0256	0.0478	0.0226
F3	0.9232	0.903	0.905	0.8826
VAV3	0.8486	0.7534	0.8096	0.6898
PRKACB	0.905	0.9772	0.8466	0.96
DDAH1	0.34	0.1734	0.2078	0.0672
RNPC3	0.298	0.375	0.2818	0.354
AHCYL1	0.66	0.7806	0.6666	0.752
ASH1L	0.7246	0.6778	0.698	0.6478
C1orf61	0.189	0.411	0.2098	0.3986
BCAN	0.184	0.3274	0.153	0.29
POGZ	0.086	0.0778	0.0384	0.0437
ATP1A2	0.7852	0.6864	0.7722	0.6506
POU2F1	0.239	0.2632	0.1422	0.1636
RABGAP1L	0.0647	0.1664	0.0624	0.1844
PBX1	0.0174	0.0302	0.031	0.0438
DNM3	0.3198	0.283	0.2022	0.1828
NAV1	0.3236	0.267	0.2354	0.1986
CRB1	0.0489	0.0481	0.0336	0.0363
GLUL	0.8164	0.6534	0.7796	0.5802
ASTN1	0.9394	0.9574	0.9124	0.929
BRINP3	0.619	0.605	0.4706	0.471
GPR37L1	0.8224	0.8664	0.7994	0.8488
ITPKB	0.4588	0.257	0.4916	0.2724
CDC42BPA	0.7248	0.6024	0.632	0.5004
ESRRG	0.2014	0.2026	0.1874	0.1934
AKT3_ENSG00000117020	0.2186	0.477	0.1436	0.3656
AGT	0.8832	0.9626	0.8668	0.9622
FMN2	0.9532	0.805	0.9476	0.8084
RGS7	0.5698	0.7674	0.5268	0.7302
NCOA1	0.3458	0.398	0.3438	0.405
EFR3B	0.1306	0.1136	0.152	0.1336
ID2	0.5264	0.523	0.4792	0.41
BIRC6	0.9406	0.9486	0.8944	0.9018
LINC00486	0.2088	0.2036	0.1792	0.1922
LINC00299	0.5894	0.6512	0.573	0.6332
SPTBN1	0.539	0.565	0.358	0.38
RTN4	0.0856	0.059	0.0547	0.0388
CCDC88A	0.9354	0.9474	0.886	0.9304
USP34	0.5194	0.3814	0.3666	0.2364
EHBP1	0.167	0.1706	0.1284	0.1194
PREPL	0.601	0.6178	0.4344	0.5374
ACYP2	0.1898	0.4764	0.1554	0.4718
NRXN1	0.45	0.5222	0.2914	0.3756
BCYRN1	0.0992	0.1038	0.0468	0.0645
TMSB10	0.1266	0.103	0.0701	0.0615
CTNNA2	0.0365	0.0771	0.0362	0.0709
ZNF638	0.927	0.734	0.8932	0.6336
EXOC6B	0.0486	0.1674	0.0341	0.137
SFXN5	0.5652	0.8266	0.5692	0.7946
LRRTM4	0.3332	0.2422	0.2292	0.1732
MAP4K4	0.8046	0.7946	0.7636	0.798
MERTK	0.9858	0.9142	0.98	0.9008
R3HDM1	0.6878	0.8628	0.5788	0.839
CLASP1	0.0292	0.1054	0.0266	0.0849
ARHGEF4	0.5552	0.4106	0.503	0.366
LRP1B	0.0751	0.0775	0.0347	0.0367
DPP10	0.4094	0.386	0.354	0.3036
NCKAP5	0.5878	0.4674	0.5848	0.4812
OSBPL6	0.9204	0.8308	0.8978	0.7984
BAZ2B	0.863	0.8422	0.8042	0.7608
CHN1	0.1982	0.2532	0.1298	0.1852
FMNL2	0.1928	0.0971	0.1502	0.0775
MBD5	0.053	0.1278	0.0641	0.1282
_ENSG00000228222	0.0837	0.0919	0.058	0.0562
INO80D	0.3428	0.2828	0.2574	0.2216
PARD3B	0.0926	0.0804	0.0528	0.0548
FAM171B	0.5098	0.4062	0.3518	0.2852
ERBB4	0.0395	0.0388	0.0221	0.0212
HIBCH	0.0695	0.0434	0.0508	0.0353
ITM2C	0.0721	0.047	0.058	0.0403
SERPINE2	0.5242	0.6564	0.3444	0.5428
AGAP1	0.1394	0.1766	0.1744	0.2082
TBC1D5	0.0329	0.0782	0.02	0.0497
CHL1	0.8976	0.773	0.8388	0.693
RBMS3	0.3342	0.2462	0.24	0.1886
RPL32	0.2434	0.2222	0.2304	0.1934
SLC6A1	0.5542	0.5404	0.5302	0.5288
