gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.5106	0.5142	0.244	0.3046
KIF1B	0.2994	0.3856	0.3184	0.3604
GNB1	0.4334	0.3034	0.271	0.1524
PRDM2	0.5778	0.6764	0.5418	0.674
RERE	0.448	0.7064	0.3152	0.6628
CLSTN1	0.6716	0.3506	0.5392	0.225
CAMTA1	0.837	0.9356	0.7606	0.8942
ISG15	0.479	0.3946	0.2676	0.226
HES4	0.645	0.6804	0.455	0.5388
MTATP6P1	0.8226	0.4878	0.711	0.2864
SPEN	0.6988	0.6144	0.5862	0.524
CDC42	0.6618	0.5226	0.508	0.396
EIF4G3	0.8272	0.9188	0.7752	0.907
CAPZB	0.5938	0.8542	0.5568	0.8302
SRSF4	0.6318	0.7142	0.504	0.6384
ECE1	0.989	0.8392	0.9838	0.8
ID3	0.5966	0.4464	0.5022	0.3162
RSRP1	0.9402	0.986	0.921	0.9724
STMN1	0.402	0.2372	0.2326	0.0943
ARID1A	0.776	0.7222	0.7428	0.6892
STX12	0.419	0.5688	0.2488	0.4314
IFI6	0.4364	0.3664	0.331	0.2498
HP1BP3	0.9966	0.9484	0.994	0.9244
ATP5IF1	0.3812	0.2884	0.217	0.134
RPL11	0.3648	0.4278	0.2702	0.3338
WASF2	0.7994	0.655	0.6502	0.557
CAMK2N1	0.7714	0.5696	0.6386	0.4302
CLIC4	0.6504	0.8426	0.6418	0.8114
LUZP1	0.4892	0.8914	0.2984	0.7862
SRSF10	0.6198	0.4138	0.4266	0.2462
PHACTR4	0.9026	0.4498	0.8864	0.4492
SCMH1	0.4482	0.3874	0.3314	0.3012
THRAP3	0.977	0.8006	0.9674	0.7616
TIE1	0.6082	0.3974	0.4698	0.266
SFPQ	0.9096	0.9182	0.8812	0.9072
SLC2A1	0.8132	0.5136	0.7408	0.4072
PRDX1	0.3484	0.2752	0.2098	0.1598
KHDRBS1	0.7766	0.7196	0.7762	0.7062
AGO3	0.3466	0.2746	0.2782	0.261
MACF1	0.4342	0.4682	0.4414	0.471
PUM1	0.3974	0.2546	0.3166	0.1978
AGO4	0.9666	0.9676	0.9612	0.9646
RPS8	0.3246	0.3676	0.2222	0.2416
ZMYM4	0.3918	0.2256	0.4382	0.268
ZSWIM5	0.818	0.5072	0.568	0.3198
MFSD2A	0.7022	0.4252	0.608	0.3062
NDUFS5	0.437	0.3998	0.2604	0.2208
RNF220	0.1912	0.355	0.1716	0.3026
FOXJ3	0.4316	0.4896	0.19	0.2396
LRRC7	0.3754	0.4992	0.3738	0.4702
EPS15	0.9386	0.8788	0.9178	0.7822
TMEM59	0.6768	0.5026	0.5694	0.4224
LEPR	0.9978	0.6176	0.9956	0.4774
SRSF11	0.9114	0.6432	0.8882	0.602
OSBPL9	0.269	0.1908	0.1012	0.0634
SGIP1	0.6254	0.8846	0.63	0.8724
ZRANB2	0.7224	0.4858	0.6848	0.4392
PATJ	0.458	0.3294	0.2464	0.1724
TUT4	0.6948	0.5784	0.6276	0.5134
LRP8	0.657	0.462	0.525	0.3448
CACHD1	0.5546	0.7768	0.5444	0.7494
JAK1	0.8532	0.7712	0.7838	0.7256
NFIA	0.3446	0.5698	0.2986	0.538
NEGR1	0.5316	0.7172	0.5316	0.7002
DAB1	0.491	0.4616	0.426	0.3996
JUN	0.9026	0.8032	0.7506	0.5822
PDE4B	0.2242	0.2096	0.1588	0.1346
FAF1	0.4424	0.5646	0.3444	0.548
_ENSG00000036549	0.4324	0.6488	0.3612	0.6564
PKN2	0.5632	0.635	0.5222	0.5956
USP33	0.5366	0.472	0.44	0.4148
CDC14A	0.386	0.1768	0.4034	0.203
PALMD	0.5988	0.5224	0.436	0.3466
ADGRL2	0.5558	0.3774	0.3004	0.1642
PTBP2	0.3102	0.8232	0.256	0.8088
PLPPR4	0.4742	0.2806	0.193	0.0844
RPL5	0.7138	0.8818	0.6404	0.8702
ODF2L	0.9648	0.8242	0.931	0.7288
ZNF644	0.8106	0.8826	0.8152	0.85
IFI44L	0.7094	0.5236	0.6714	0.453
ARHGAP29	0.5126	0.5118	0.286	0.3054
IFI44	0.9152	0.7238	0.9016	0.674
RPL7P9	0.3876	0.457	0.2536	0.3126
PRKACB	0.5944	0.4656	0.3862	0.284
ADGRL4	0.652	0.4482	0.574	0.3384
ST6GALNAC3	0.8892	0.7478	0.8864	0.7186
DPYD	0.19	0.2038	0.1658	0.1678
CSDE1	0.6878	0.6606	0.5264	0.5624
MAGI3	0.4482	0.4042	0.4144	0.327
RAP1A	0.9156	0.5962	0.8652	0.5236
CAPZA1	0.2844	0.1368	0.0414	0.0157
SORT1	0.2368	0.4394	0.2214	0.3388
SLC16A1_ENSG00000155380	0.9896	0.6498	0.9864	0.577
ATP1A1	0.5638	0.4216	0.3804	0.2388
SRGAP2C	0.7216	0.527	0.6198	0.4014
SRGAP2B	0.4986	0.3124	0.3924	0.2486
TRIM33	0.4042	0.6416	0.4176	0.6444
MAN1A2	0.554	0.4858	0.3192	0.311
RNF115	0.4286	0.2198	0.3114	0.1884
TXNIP	0.3338	0.5422	0.272	0.511
ASH1L	0.6426	0.5978	0.529	0.4768
ENSA	0.6528	0.6312	0.4954	0.4858
POGZ	0.2664	0.4296	0.2218	0.3964
