gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
DNAJC11	0.101	0.0704	0.0221	0.0312
VPS13D	0.0531	0.0345	0.0041	0.004
PER3	0.3802	0.256	0.3672	0.248
KIF1B	0.361	0.4164	0.2996	0.3444
PRKCZ	0.2064	0.1952	0.0603	0.0662
KCNAB2	0.1272	0.0926	0.0725	0.0456
ENO1	0.7416	0.7606	0.6972	0.7378
GNB1	0.8702	0.8054	0.8668	0.7704
SDF4	0.6772	0.48	0.3896	0.2166
ACOT7	0.0899	0.1152	0.0822	0.0895
CEP104	0.121	0.0551	0.0599	0.0281
RPL22	0.0648	0.1138	0.042	0.0698
CHD5	0.5916	0.4322	0.2976	0.1632
ERRFI1	0.4144	0.1664	0.2688	0.0539
PARK7	0.3022	0.3942	0.2456	0.322
SRM	0.7718	0.9856	0.718	0.9852
FBXO2	0.485	0.4862	0.3722	0.3638
MFN2	0.4364	0.5826	0.3566	0.5452
PRDM2	0.0897	0.0742	0.0799	0.0745
INTS11	0.3588	0.2432	0.1474	0.114
LRRC47	0.7244	0.9392	0.6706	0.9376
UBE4B	0.0841	0.0431	0.0053	0.0036
ACAP3	0.4958	0.3476	0.2118	0.1102
C1orf159	0.1	0.0829	0.0917	0.083
NPHP4	0.373	0.601	0.3114	0.5994
FBXO44	0.2942	0.2352	0.2298	0.1726
RERE	0.3218	0.1382	0.326	0.149
CFAP74	0.156	0.1852	0.0342	0.0711
FHAD1	0.2896	0.2936	0.0855	0.1556
PEX14	0.0289	0.0218	0.0068	0.0076
PLCH2_ENSG00000149527	0.8	0.5806	0.5388	0.2238
RER1	0.4244	0.3114	0.2252	0.1636
SKI	0.971	0.954	0.9514	0.9416
TPRG1L	0.4028	0.5504	0.3348	0.475
DFFA	0.3614	0.423	0.182	0.2548
ATAD3B	0.1444	0.0666	0.0494	0.0119
SSU72	0.7004	0.6958	0.6498	0.6474
UBE2J2	0.7452	0.6698	0.547	0.5224
NOL9	0.105	0.0736	0.0746	0.0685
SLC45A1	0.0215	0.0251	0.0087	0.0152
LZIC	0.7148	0.7034	0.5538	0.6116
CLSTN1	0.4394	0.5026	0.3452	0.4212
SLC25A33	0.0015	0.0016	8e-04	0.0025
PLEKHG5	0.0582	0.112	0.0459	0.0821
CAMTA1	0.4706	0.44	0.3204	0.325
EXOSC10	0.1486	0.1014	0.0703	0.0501
NMNAT1	0.0614	0.0363	0.0098	0.0078
AURKAIP1	0.2724	0.2196	0.1622	0.0771
MTHFR	0.4006	0.6718	0.3658	0.6428
CTNNBIP1	0.073	0.0575	0.0659	0.0476
GABRD	0.9634	0.8468	0.951	0.8158
NOC2L	0.6668	0.5622	0.577	0.5068
KAZN	0.0047	0.0052	0.005	0.0059
MMP23B	0.2498	0.1676	0.0899	0.051
AJAP1	0.4552	0.3038	0.4862	0.3456
MIB2	0.6966	0.4746	0.4584	0.209
MTOR	0.2878	0.4522	0.1736	0.4036
