gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
VPS13D	0.4262	0.386	0.379	0.3904
PER3	0.48	0.647	0.4084	0.5924
KIF1B	0.7238	0.9408	0.7926	0.994
PRKCZ	0.3252	0.381	0.1034	0.2476
KCNAB2	0.2432	0.3188	0.1706	0.2518
ENO1	0.6918	0.727	0.646	0.7
GNB1	0.6106	0.497	0.5384	0.4396
ACOT7	0.219	0.298	0.2026	0.2866
CHD5	0.6894	0.8932	0.537	0.9868
PARK7	0.9302	0.8452	0.9456	0.71
PRDM2	0.801	0.7222	0.812	0.731
UBE4B	0.3836	0.2848	0.2244	0.1852
ACAP3	0.802	0.966	0.7428	0.8852
FBXO44	0.2394	0.28	0.118	0.2378
RERE	0.0491	0.0856	0.0523	0.0914
PEX14	0.6012	0.8746	0.5642	0.9042
CLSTN1	0.439	0.603	0.3748	0.6626
CAMTA1	0.8592	0.7336	0.9098	0.6824
EXOSC10	0.5336	0.5666	0.5	0.5774
KAZN	0.459	0.5326	0.4892	0.5644
MTOR	0.8116	0.9298	0.863	0.9482
CCNL2	0.5608	0.2748	0.2724	0.074
MTATP6P1	0.5872	0.61	0.6256	0.6128
NIPAL3	0.6686	0.8166	0.7282	0.9018
KDM1A	0.6468	0.6022	0.4068	0.348
FBXO42	0.5456	0.651	0.3504	0.5746
SPEN	0.00229999999999997	0.0273	0.0033	0.0273
CDC42	0.5034	0.6506	0.4942	0.661
EIF4G3	0.6416	0.5208	0.6616	0.5612
RAP1GAP	0.2598	0.255	0.0776	0.0907
CAPZB	0.7774	0.841	0.7128	0.8078
NUDC	0.6102	0.4688	0.5492	0.408
USP48	0.4988	0.6416	0.463	0.6592
DNAJC16	0.3882	0.3408	0.291	0.312
SRSF4	0.1946	0.1076	0.152	0.0867
IGSF21	0.8294	0.8466	0.8782	0.8812
RSRP1	0.6116	0.646	0.5932	0.6146
STMN1	0.684	0.9374	0.6396	0.9968
MAN1C1	0.5444	0.755	0.53	0.8006
ARID1A	0.1352	0.1326	0.0657	0.0807
STX12	0.9214	0.7658	0.9404	0.8806
