gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
VPS13D	0.8662	0.9718	0.75	0.9312
KIF1B	0.1252	0.1542	0.0144	0.033
GNB1	0.8262	0.7854	0.7892	0.7384
UBE4B	0.6578	0.8588	0.4202	0.7718
ACAP3	0.389	0.4736	0.0783	0.156
RERE	0.703	0.5098	0.6134	0.4138
CLSTN1	0.4468	0.4622	0.1924	0.1652
CAMTA1	0.8982	0.7206	0.9134	0.7284
KAZN	0.831	0.9622	0.7094	0.9156
EIF4G3	0.7968	0.8578	0.7396	0.8422
IGSF21	0.691	0.9904	0.6392	0.9848
STMN1	0.7522	0.7228	0.7458	0.706
HP1BP3	0.0889	0.0752000000000001	0.0082	0.0372
PHACTR4	0.4876	0.6466	0.2052	0.3464
SCMH1	0.5486	0.5612	0.2902	0.303
SFPQ	0.404	0.4116	0.2016	0.269
RLF	0.2318	0.1896	0.0434	0.0279
CSMD2	0.3924	0.4352	0.1946	0.2552
AGO3	0.4658	0.5148	0.2178	0.2466
HIVEP3	0.6104	0.576	0.494	0.4612
MACF1	0.822	0.8336	0.7426	0.7648
NASP	0.5326	0.683	0.4402	0.632
PUM1	0.126	0.1666	0.0276	0.0599
KIAA0319L	0.394	0.5366	0.1596	0.3398
ZMYM4	0.9314	0.776	0.9434	0.7948
ZSWIM5	0.5244	0.557	0.283	0.3462
SDC3	0.4204	0.6864	0.2738	0.6356
MARCKSL1	0.6848	0.6932	0.5256	0.559
FOXJ3	0.4838	0.786	0.3942	0.7536
LRRC7	0.4484	0.659	0.422	0.624
NRDC	0.1992	0.2126	0.0226	0.0365
DNAJC6	0.3094	0.297	0.0835	0.0804
SRSF11	0.682	0.5064	0.441	0.3578
SGIP1	0.3228	0.4192	0.3382	0.4178
SPATA6	0.376	0.5668	0.366	0.5524
PATJ	0.7858	0.9448	0.7318	0.9362
TUT4	0.701	0.8864	0.5582	0.8074
ZFYVE9	0.1986	0.104	0.1	0.0883
USP24	0.836	0.7086	0.8358	0.7282
PLPP3	0.6684	0.6236	0.6628	0.6006
NFIA	0.154	0.1444	0.187	0.1826
NEGR1	0.468	0.4834	0.3094	0.3428
DAB1	0.7802	0.8798	0.7726	0.8742
PDE4B	0.305	0.2992	0.2512	0.2316
FAF1	0.9358	0.6396	0.9042	0.4892
AGBL4	0.4058	0.3914	0.2808	0.2742
_ENSG00000036549	0.3986	0.2022	0.376	0.1368
COL11A1	0.9334	0.9116	0.9304	0.9064
PKN2	0.6756	0.9042	0.4868	0.8432
EVI5	0.2872	0.5128	0.3154	0.5556
USP33	0.5638	0.2346	0.4988	0.2112
PTBP2	0.2658	0.2216	0.273	0.201
PLPPR5	0.7352	0.892	0.7308	0.8972
PLPPR4	0.4686	0.404	0.2114	0.1762
ZNF644	0.9234	0.9754	0.8856	0.964
RPAP2	0.3128	0.3448	0.0473	0.0447
TTLL7	0.3026	0.2228	0.1356	0.0911
SLC44A5	0.849	0.9966	0.855	0.995
PRKACB	0.4014	0.3238	0.1416	0.1024
DDAH1	0.4186	0.5026	0.4204	0.4854
DIPK1A	0.786	0.7242	0.695	0.6518
NTNG1	0.609	0.526	0.614	0.5116
RNPC3	0.5948	0.7326	0.3636	0.5782
CCDC18-AS1	0.8658	0.6496	0.7576	0.3948
MAGI3	0.5838	0.507	0.437	0.3722
GPSM2	0.3646	0.5246	0.2392	0.4272
ATP1A1	0.5664	0.5766	0.3508	0.3704
TRIM33	0.6736	0.6278	0.655	0.6086
MAN1A2	0.267	0.261	0.096	0.149
HYDIN2	0.3628	0.4326	0.0824	0.1
ASH1L	0.6192	0.4316	0.4894	0.3492
C1orf61	0.7768	0.7804	0.7384	0.7666
BCAN	0.1144	0.0791	0.1344	0.101
SYT11	0.5608	0.5424	0.4206	0.404
VPS45	0.3802	0.4484	0.2324	0.32
POGZ	0.0752000000000001	0.0664	0.0081	0.0057
