gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.111964737332169	0.1758	0.1548	0.1528	0.1498	0.0725	0.0485	0.02	0.0194	0.200665558586025	0.255318620898237	0.0314367630415876	0.0957	0.0857	0.0065	0.0106
VPS13D	0.202330838293154	0.0387	0.0631	0.0317	0.067	0.0752	0.0659	0.026	0.018	0.059145133455006	0.0328082542626279	0.124258834691516	0.2344	0.223	0.0387	0.0743
PER3	0.0672567898361726	0.858	0.9574	0.869	0.955	0.5748	0.5292	0.5796	0.5432	0.0245078006343906	0.355011794751228	0.0318908845807703	0.8688	0.6964	0.8328	0.658
KIF1B	0.905672670401285	0.6492	0.6926	0.6312	0.6784	0.9396	0.9608	0.9078	0.9296	0.125442974893579	0.157382632576935	0.499039588117084	0.443	0.366	0.2092	0.2026
PRKCZ	0.00949637626554806	0.1834	0.1736	0.0629	0.0704	0.4042	0.423	0.1178	0.1608	0.01263812791166	0.656319897770721	1.7553625364699e-05	0.6176	0.4596	0.282	0.1672
KCNAB2	0.108947601127822	0.0532	0.0763	0.0395	0.0558	0.1596	0.1348	0.0596	0.0589	0.135191998239951	0.346762454077264	0.0312081634832935	0.6378	0.4012	0.5478	0.327
ENO1	0.764020867329865	0.8138	0.8416	0.8296	0.8532	0.717	0.627	0.7072	0.61	0.399024671747965	0.854160619073464	0.0213377910464618	0.9656	0.9802	0.9648	0.9828
GNB1	0.186510103685557	0.18	0.2718	0.2442	0.3212	0.947	0.9296	0.9392	0.9266	0.0606415338301141	0.382168181851414	0.112540141716474	0.9128	0.917	0.9102	0.9072
ACOT7	0.423994848122022	0.7922	0.9622	0.759	0.9474	0.0778	0.124	0.0527	0.0731	0.750339306842794	0.980390413451261	0.0267690501942891	0.2476	0.2274	0.1332	0.1322
CEP104	0.857644550295666	0.3748	0.2238	0.2848	0.1314	0.0972	0.0604	0.0451	0.0244	0.626122790264945	0.770215259784633	0.735285814266078	0.1452	0.1576	0.038	0.0594
CHD5	0.223031287133297	0.8614	0.6986	0.763	0.5364	0.8762	0.7366	0.6162	0.3686	0.757515734322595	0.704782766857577	0.260499746164156	0.9034	0.8912	0.7288	0.7298
PARK7	0.0473027175471924	0.0615	0.0867	0.0402	0.044	0.1434	0.187	0.0628	0.0875	1.67917800177249e-08	0.041920406020713	1.28933022427749e-09	0.0446	0.0644	0.0354	0.044
MFN2	0.940730256983716	0.8918	0.9206	0.8486	0.8944	0.369	0.4602	0.281	0.3456	0.717152328065635	0.651484227936994	0.158018441206865	0.3428	0.4664	0.2306	0.3582
PRDM2	0.355118642766046	0.1132	0.1012	0.1038	0.0912	0.02	0.0238	0.0299	0.0325	0.204280201387162	0.0764295794128605	0.425358618204156	0.2494	0.1508	0.2244	0.1502
