gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.350835457050515	0.4194	0.3872	0.3904	0.356	0.3598	0.4578	0.2506	0.3664	0.220417895803276	0.101354209573981	0.00394568306551813	0.1924	0.1758	0.0636	0.0885
VPS13D	0.194587991292555	0.9192	0.963	0.857	0.9364	0.2772	0.1826	0.2494	0.1918	0.441466009983718	0.617400089556409	0.366203206547413	0.542	0.4558	0.4026	0.326
PER3	0.138827040603623	0.7924	0.806	0.7602	0.793	0.5252	0.3614	0.4876	0.3	0.260253555166628	0.483238808689985	0.124657680057354	0.2256	0.2024	0.1838	0.1582
KIF1B	0.446520455878891	0.4632	0.4112	0.495	0.4316	0.4004	0.2976	0.2168	0.1046	0.17131526698822	0.447742275201375	0.461584943780447	0.8614	0.839	0.7902	0.752
PRKCZ	0.218034048727121	0.7112	0.5772	0.6358	0.5104	0.2284	0.2038	0.0345	0.0521	0.00824061413724854	0.293896365588938	0.00573466422826062	0.5108	0.4654	0.2188	0.2598
KCNAB2	0.275805127168167	0.3214	0.2846	0.2226	0.167	0.0833	0.0581	0.0163	0.0182	0.875292164718834	0.718076329765121	0.000340978757278985	0.168	0.1234	0.0836	0.0571
ENO1	0.471577859843105	0.5256	0.5374	0.4602	0.487	0.9036	0.9882	0.8732	0.985	0.134179351217896	0.584514627076761	0.00109699347541715	0.7698	0.9002	0.7274	0.881
GNB1	0.814530923119197	0.863	0.9826	0.854	0.9814	0.6336	0.9072	0.5722	0.8656	0.805805902000802	0.989252100756505	0.000466681309936431	0.1748	0.2122	0.179	0.2054
SDF4	0.812334807125471	0.6138	0.4548	0.1858	0.106	0.7476	0.5508	0.4028	0.292	0.143093386404337	0.749094495790459	0.100662632926288	0.7888	0.7438	0.4484	0.4966
ACOT7	0.05490617260545	0.5328	0.492	0.4628	0.4304	0.0649	0.102	0.0317	0.0539	0.00787587919929358	0.131243428353506	3.20731577769618e-11	0.1462	0.1718	0.091	0.1116
