cell_type	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
L2_3	15	0	0	0	0	0	0	260	0
L4	9	0	0	0	0	0	0	0	0
Microglia	0	0	0	0	0	0	0	0	0
Endothelial	1	0	0	0	2	0	0	0	0
IN-SV2C	6	0	0	0	0	0	0	1066	181
AST-PP	1	0	0	0	0	0	0	0	0
IN-VIP	39	0	0	0	0	0	0	800	45
IN-SST	60	0	0	5	0	0	0	1064	161
IN-PV	18	0	0	0	0	0	0	985	319
AST-FB	0	1	2	0	0	0	0	0	0
Oligodendrocytes	16	0	0	0	0	0	0	0	0
L5_6	0	0	0	0	0	0	0	0	0
L5_6-CC	7	0	0	0	0	0	0	0	0
OPC	2	0	0	0	0	0	0	65	137
Neu-NRGN-II	67	7	6	27	18	0	0	158	0
Neu-NRGN-I	25	0	0	9	0	0	0	0	0
Neu-mat	2	0	0	0	0	0	0	173	121
