gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.821532507258188	0.91266163950377	0.921085432355232	0.678796498316498	0.666864747157029	0.973083241455347	0.997845531535547	0.49796372824256	0.645983344835519	0.195522500468612	0.554737887125054	0.00462174724171661	0.931568730497619	0.977050537824017	0.448317333333333	0.500991147786947
VPS13D	0.740914763689466	0.959517326145552	0.965258909968198	0.813419293775027	0.824100125042628	0.961144298245614	0.956717666853618	0.496136368746487	0.54241889298893	0.307969942621129	0.792389366378859	0.220162675814159	0.931568730497619	0.977050537824017	0.550597057654076	0.597653227801138
PER3	0.702386612381015	0.950965364934016	0.960263555614477	0.787444396897566	0.794112860281763	0.988352275438895	0.997845531535547	0.608575700934579	0.614099946723495	0.218429609851232	0.758741965778346	0.0888867617354471	0.931568730497619	0.977050537824017	0.476776989166978	0.531587588652482
KIF1B	0.847788200916839	0.918206060606061	0.921216585365853	0.712822085889571	0.694716959305929	0.979954146856841	0.997845531535547	0.475515496442932	0.453937938844847	0.165756915979393	0.747938606208466	0.267869188798509	0.957606656804734	0.982452975436819	0.68162820867379	0.738352629487349
PRKCZ	0.757776683239201	0.94163041556145	0.943078367641748	0.761913411619283	0.719635184847933	0.938349628334062	0.965714778325123	0.278374972067039	0.378478104265403	0.0169388375993753	0.678508489939132	0.00633088941834237	0.931568730497619	0.977050537824017	0.48504964720975	0.574657694558221
KCNAB2	0.796783966242504	0.899354144241119	0.900209490333919	0.605215724815725	0.568663144218276	0.838064929424539	0.853728393135726	0.236902258726899	0.29501589958159	0.463592492441152	0.816877992552542	0.000566529619792391	0.931568730497619	0.977050537824017	0.455914177978884	0.487921371428572
ENO1	0.853227180817637	0.922439385584876	0.938516530532867	0.703931516587678	0.710071987951807	0.994019086053412	0.9987825	0.732287867298578	0.820904741191823	0.139728799839215	0.785751444627158	0.00154010267718908	0.945007226980728	0.985808132387707	0.662431161247512	0.768239671554252
GNB1	0.905948180121701	0.957153439940498	0.965637508139787	0.812554734127471	0.829747602926723	0.989554705586311	0.997845531535547	0.643884197138315	0.798951943207797	0.442038931118835	0.863805864664712	0.000738907807103109	0.931568730497619	0.977050537824017	0.47601977597528	0.548029085673146
SDF4	0.90594611983187	0.939794238683128	0.930034992047262	0.585996254071661	0.543478145695364	0.990575189447095	0.997845531535547	0.575837288135593	0.611611915823996	0.146354100955823	0.822834406339338	0.0739450128493155	0.945930638297872	0.97988304997424	0.567174341013825	0.661895198705269
ACOT7	0.627801689786361	0.926584351887894	0.933526936026936	0.704292018779343	0.694716959305929	0.817295978552279	0.897820018198362	0.271508323281062	0.380727741935484	0.016304544037575	0.580199751115183	3.66083180473897e-10	0.931568730497619	0.977050537824017	0.457299708029197	0.518340722596448
DVL1	0.88335844505928	0.920338556446638	0.965258909968198	0.650542175622543	0.813373290674251	0.994019086053412	0.997845531535547	0.654256359252562	0.673689053193674	0.0785106152355686	0.775636269248768	0.20944887316947	0.944849195212547	0.97988304997424	0.630731158142269	0.73825249204666
MORN1	0.780843631454721	0.791675126903553	0.76713567839196	0.490835643564356	0.497592621359223	0.778266943866944	0.803921856287425	0.232489051094891	0.29501589958159	0.132846562386694	0.575022958128469	6.71932378718198e-05	0.931568730497619	0.977050537824017	0.394677124183007	0.484765876777251
CEP104	0.808555127988917	0.959517326145552	0.953647304763327	0.827635517202225	0.751736293007769	0.978561202039174	0.997845531535547	0.490697349257209	0.5448236481615	0.402474601214672	0.857524762715083	0.0819615403574174	0.931568730497619	0.977050537824017	0.464631045601105	0.509937859007833
ICMT	0.91728993197041	0.959517326145552	0.965258909968198	0.812211186232329	0.813053045655024	0.99412069488166	0.997845531535547	0.735898551066086	0.788444378035114	0.48631593536477	0.840765703098742	0.00246207529354864	0.957425462620281	0.97988304997424	0.689838747071156	0.73490764047972
RPL22	0.695972190976776	0.812373777315296	0.802444981862152	0.492835462842243	0.499962915601023	0.778266943866944	0.839985612788632	0.259331680440771	0.376593103448276	0.0632650653164902	0.659655952775646	0.441899135429956	0.931568730497619	0.977050537824017	0.449873858921162	0.515617391304348
CHD5	0.827351329635073	0.952163108863455	0.953647304763327	0.752087676570872	0.693449233997901	0.996435106035889	0.997845531535547	0.747233314498813	0.727550230414747	0.250407233745763	0.839521582729592	0.0802292882179222	0.969717177384549	0.985467160434834	0.735750221933528	0.73825249204666
ERRFI1	0.876130997008364	0.899354144241119	0.874908571428571	0.634089081455806	0.556692347200822	0.964966122961104	0.9177	0.461529381443299	0.392657702127659	0.420382780839966	0.849400409815669	0.000595181997776947	0.932088593155894	0.977050537824017	0.614665637065637	0.569222982731554
PARK7	0.583777636781232	0.841881839438815	0.878642924086223	0.518162457337884	0.54800152768937	0.894291771269177	0.974836286919831	0.3539	0.49252795389049	2.94893108904324e-07	0.416140271288042	1.3842477684924e-16	0.931568730497619	0.977050537824017	0.443861710037175	0.496513134851138
