gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
KIF1B	0.830512688422394	0.956045562913907	1	0.843181818181818	0.942728495575221	0.416588690476191	0.355238314176245	0.330435261707989	0.273291531531532	0.145059453173901	0.451849861011715	0.00971712972141011	0.645745074106364	0.624534377719756	0.558481043478261	0.523448347826087
GNB1	0.618324928583794	0.97760568383659	1	0.898550831792976	0.980741514360313	0.12790495049505	0.127312280701754	0.0992165680473373	0.114058620689655	0.265700901048669	0.599450944252539	0.456148343088472	0.267511330049261	0.251154761904762	0.168	0.142902491103203
CHD5	0.562312619888497	0.953679012345679	1	0.769133105802048	0.876183486238532	0.463775796178344	0.472511640953717	0.261648526863085	0.281309803921569	0.416862411000403	0.748127956697461	0.216145551905188	0.614147368421053	0.577968075117371	0.496472200772201	0.451970571151985
PRDM2	0.691875339351309	0.956045562913907	1	0.848279683377309	0.954182456140351	0.11097380952381	0.105595402298851	0.0771759036144578	0.0983216666666667	0.455000610956431	0.788956122491885	0.0269217970129998	0.59636462585034	0.518573262032086	0.499317082533589	0.404794882729211
ACAP3	0.862398463404334					0.43776408839779	0.398175838926174	0.249383001808318	0.218359649122807	0.1104956564402	0.715174941694086	0.0089137035527307	0.592968007850834	0.544492370295015	0.44384943123061	0.39314830230011
RERE	0.442447199778249	0.712581818181818	0.759821428571429	0.641824175824176	0.704552380952381	0.595464503816794	0.661656544502618	0.488805363984674	0.582735078534031	0.117123144412672	0.425214119308453	0.412169042552554	0.441575	0.356719022687609	0.282	0.207355084745763
CLSTN1	0.7683374019359	0.956045562913907	0.984368600682594	0.795911547911548	0.7824	0.592017760617761	0.524316666666667	0.485864085188771	0.404377777777778	0.0680941002576873	0.671506361395943	0.00335007877451635	0.602250524308866	0.59796174863388	0.492716116504855	0.492421338155515
CAMTA1	0.822411224445787	0.882856747404845	0.916057142857143	0.769133105802048	0.827556398104265	0.167022448979592	0.220755852842809	0.0795129032258064	0.132040182648402	0.17033082770817	0.65856295904597	0.00211011158720202	0.598689361702128	0.553270896273918	0.499125240847784	0.427699798792757
KAZN	0.597356357249791	0.956045562913907	1	0.843181818181818	0.942728495575221	0.11097380952381	0.105595402298851	0.0774046511627907	0.0858517647058824	0.178991664510391	0.599450944252539	0.431253141149111	0.267354455445545	0.24783950617284	0.150475449101796	0.131571428571429
MTATP6P1	0.862398463404334	0.968109236947791	1	0.871583431952663	0.980741514360313	0.460883720930232	0.649858571428571	0.310230161054173	0.562973441734417	2.18174779569e-08	0.655318661013647	1.40898395778385e-10	0.48749603960396	0.610983928571429	0.366735403726708	0.495289648964896
EIF4G3	0.854843721803935	0.956045562913907	1	0.848279683377309	0.9424	0.60508911627907	0.62258064516129	0.511553505535055	0.539202251407129	0.49303106279222	0.79081268043961	0.348647888016047	0.513962143671608	0.465043804755945	0.417437348066298	0.360670308788599
STMN1	0.127137566176222	0.639525925925926	0.630104166666667	0.521846153846154	0.568028571428572	0.11097380952381	0.142184810126582	0.0795129032258064	0.117832460732984	1.35397709036616e-09	0.234261470129461	0.00188475679501271	0.254724324324324	0.230230769230769	0.140380769230769	0.130475
CAMK2N1	0.732559185215066	0.882856747404845	0.957161572052402	0.719552941176471	0.770445283018868	0.352967647058823	0.453958540145985	0.183985487528345	0.303717333333333	1.35534243197679e-15	0.454543460068926	1.60045436711321e-14	0.354933333333333	0.348633451957295	0.203075062972292	0.181428978622328
SCMH1	0.795938700344351	0.953679012345679	1	0.769133105802048	0.882870447761194	0.544005445026178	0.641733820840951	0.429795780590717	0.559452150045746	0.313480318123711	0.599450944252539	0.0930274402478049	0.566736196319018	0.475858343337335	0.447240941658137	0.360997163120567
NCDN	0.865126612180338	0.968109236947791	1	0.883689516129032	0.980741514360313	0.594223923444976	0.645176427923844	0.494990675547098	0.563803065825068	0.0011849810868284	0.589093316521681	7.63168995518363e-06	0.478834053367217	0.520386822529224	0.332378833107191	0.394379498364231
ATP6V0B	0.399113453016637	0.882856747404845	0.934526315789474	0.769133105802048	0.770445283018868	0.209071612903226	0.175555769230769	0.144214983713355	0.117635978835979	0.277653352357049	0.639686103947615	0.354050023592044	0.318118969555035	0.263991836734694	0.205124938271605	0.140686086956522
ADGRB2	0.74423974924693	0.956045562913907	0.992871287128713	0.817646532438479	0.827556398104265	0.550121649484536	0.53534953271028	0.402314702581369	0.395630490956072	0.227441423447717	0.79081268043961	0.00807505204571303	0.517338461538462	0.540740740740741	0.34413562005277	0.391603093922652
CSMD2	0.865318750855042	0.977825332152347	1	0.90736	0.980741514360313	0.519470729053319	0.471017721518987	0.430572088142707	0.393886161879896	0.11188539694463	0.690690778220536	0.349660443065873	0.523850726256983	0.416960698689956	0.4368964360587	0.329104
HIVEP3	0.836808237544084	0.956045562913907	1	0.848279683377309	0.942728495575221	0.595464503816794	0.641332113449223	0.49848611898017	0.559452150045746	0.0159964701480839	0.639686103947615	0.0614900520548079	0.631405919282511	0.591259668508287	0.536730403587444	0.484571271729186
MACF1	0.859821643384635	0.956045562913907	1	0.834173913043478	0.912920207253886	0.186605384615385	0.193627642276423	0.14659754601227	0.16227652733119	0.498889488141251	0.79081268043961	0.163685420412416	0.281222317596567	0.263594142259414	0.146659459459459	0.131571428571429
PUM1	0.665913304761492	0.968109236947791	1	0.861820418204182	0.980741514360313	0.304602141327623	0.428999036918138	0.171102729528536	0.292489043478261	0.0216968591911829	0.452140241079634	3.32867348548511e-05	0.292966666666667	0.31628144989339	0.151561538461538	0.168536734693878
LRRC7	0.428127274606457	0.956045562913907	1	0.843181818181818	0.980741514360313	0.130617322834646	0.154819565217391	0.0757587301587302	0.0896978260869565	1.02450229831341e-07	0.267411847477567	2.81963688840561e-06	0.267354455445545	0.278026402640264	0.151561538461538	0.149585234899329
DNAJC6	0.738087845237634	0.956045562913907	1	0.848279683377309	0.980741514360313	0.485829611650486	0.597386505538772	0.34606455026455	0.506628571428571	4.13748797498843e-05	0.246206323791559	5.5431180388408e-07	0.503813048635824	0.503830357142857	0.363918703241895	0.343348185231539
SRSF11	0.583476897586979	0.882856747404845	0.957161572052402	0.770146892655367	0.8301375	0.189882608695652	0.145715	0.0751540983606557	0.0858517647058824	0.19550617368371	0.483935306249164	0.399486801846867	0.542820556745182	0.397271341463415	0.426958019375673	0.256710476190476
SGIP1	0.814946015950688	0.953679012345679	1	0.805794050343249	0.942728495575221	0.521463939720129	0.641071062271062	0.429795780590717	0.559452150045746	0.138602551421855	0.474275208959182	0.433799383949783	0.473898018494055	0.479640236686391	0.366787112763321	0.371650172612198
ZRANB2	0.399113453016637	0.650451612903226	0.6225	0.582231884057971	0.575471186440678	0.20178606271777	0.162629441624365	0.0946243243243243	0.0858517647058824	0.148452474241203	0.452140241079634	0.260082761243621	0.505032624113475	0.503830357142857	0.400074482758621	0.404794882729211
PATJ	0.841813234495144	0.882856747404845	0.916057142857143	0.770146892655367	0.7824	0.552534702258727	0.546187773933103	0.442055144032922	0.454615349887133	0.449191804689787	0.776168925471052	0.0905584438345788	0.439436065573771	0.366709030100334	0.310559201141227	0.257177743431221
SSBP3	0.458172630680859	0.970413559322034	1	0.892325449385052	0.980741514360313	0.43776408839779	0.505273007712082	0.265976470588235	0.344771898355755	0.000468776882543243	0.305014753039031	5.69835047474783e-06	0.39047308319739	0.3841625	0.209875576036866	0.207355084745763
