gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
ISG15	0.0157	0.00739999999999996	0.0142	0.0106
SDF4	0.2524	0.196	0.291	0.2334
UBE2J2	0.298	0.6254	0.271	0.5816
AURKAIP1	0.0264	0.0227000000000001	0.0284	0.0239
MRPL20	0.5456	0.5908	0.556	0.5836
SSU72	0.0738	0.1304	0.0747	0.1444
MIB2	0.212	0.1868	0.2386	0.2292
CDK11B	0.1208	0.0946	0.047	0.0404
CDK11A	0.962	0.97	0.9628	0.9768
GNB1	0.6804	0.95	0.6848	0.9362
RER1	0.4572	0.475	0.4076	0.4042
TNFRSF14	0.7412	0.8108	0.7366	0.8126
KCNAB2	0.0254	0.0316	0.022	0.0305
RPL22	0.00239999999999996	0.00209999999999999	0.0028	0.0032
CAMTA1	0.288	0.1802	0.2254	0.1502
PARK7	0.00939999999999996	0.0122	0.0081	0.009
ENO1	0.8054	0.7454	0.8092	0.7466
CLSTN1	0.826	0.8706	0.8152	0.8562
SRM	0.6658	0.7218	0.637	0.6682
AGTRAP	0.685	0.6072	0.662	0.5302
TNFRSF1B	0.2364	0.2982	0.2532	0.3646
PRDM2	0.0109	0.0182	0.0056	0.011
EFHD2	0.579	0.5886	0.587	0.594
SPEN	0.000700000000000034	0.000600000000000045	6e-04	8e-04
SZRD1	0.344	0.5586	0.2792	0.5012
NECAP2	0.0716	0.0334	0.0817	0.0393
SDHB	0.3956	0.3838	0.3918	0.4002
AKR7A2	0.0899	0.0891	0.0349	0.0316
CAPZB	0.8862	0.9886	0.8902	0.9914
MINOS1	0.1045	0.1096	0.137	0.1452
DDOST	0.00760000000000005	0.0234	0.001	0.0062
HP1BP3	0.246	0.1772	0.279	0.22
EIF4G3	0.2336	0.3626	0.2428	0.4136
USP48	0.00770000000000004	0.00660000000000005	0.0055	0.0061
CDC42	0.9344	0.9172	0.9492	0.924
HNRNPR	0.0712000000000001	0.0763	0.096	0.1054
RPL11	0.2224	0.2058	0.1728	0.1586
PITHD1	0.3748	0.2424	0.4008	0.3022
LYPLA2	0.0328000000000001	0.0354	0.0268	0.0329
PNRC2	0.00160000000000005	0.00619999999999998	5e-04	0.0029
SRSF10	0.019	0.0144	0.0103	0.0095
SRRM1	0.438	0.3792	0.451	0.404
RUNX3	0.3394	0.187	0.3084	0.1528
SYF2	0.9638	0.8582	0.966	0.8114
TMEM50A	0.5164	0.395	0.548	0.4204
STMN1	0.1154	0.1948	0.1132	0.1646
SH3BGRL3	0.00209999999999999	0.00249999999999995	0.001	0.0016
CD52	0.3766	0.5564	0.3126	0.5062
HMGN2	0.6074	0.3982	0.6106	0.3834
RPS6KA1	0.4712	0.4266	0.5006	0.4718
ARID1A	0.1842	0.0913	0.1694	0.0887
NUDC	0.0782000000000001	0.0504	0.0874	0.0667
SYTL1	0.6512	0.566	0.7216	0.6418
WASF2	0.58	0.5526	0.6026	0.5694
IFI6	0.00360000000000005	0.00670000000000004	0.0061	0.0068
RPA2	0.4496	0.5338	0.459	0.5634
DNAJC8	0.2126	0.1044	0.213	0.1022
PHACTR4	0.00519999999999998	0.00439999999999996	0.0065	0.0055
YTHDF2	0.2082	0.1226	0.2218	0.1364
EPB41	0.00580000000000003	0.00580000000000003	0.0061	0.0057
SRSF4	0.29	0.6748	0.2672	0.6614
LAPTM5	0.0173	0.0204	0.0283	0.0304
PUM1	0.000600000000000045	0.002	0.001	0.0027
PTP4A2	0.05	0.0786	0.0573	0.0785
KHDRBS1	0.0245	0.0252	0.0274	0.026
EIF3I	0.0907	0.2146	0.0533	0.1716
LCK	0.4786	0.5386	0.4824	0.5082
HDAC1	0.00260000000000005	0.00480000000000003	0.0036	0.012
ZBTB8OS	0.9156	0.9226	0.9198	0.935
RBBP4	0.2032	0.4498	0.1482	0.432
YARS	0.7002	0.6584	0.7096	0.6644
SFPQ	0.00639999999999996	0.00519999999999998	0.0096	0.0069
PSMB2	0.1304	0.135	0.132	0.1282
TRAPPC3	0.4428	0.8554	0.4864	0.8606
MAP7D1	0.7838	0.7832	0.828	0.8012
THRAP3	0.0581	0.158	0.0543	0.1418
LSM10	0.7068	0.6086	0.7312	0.6362
MRPS15	0.0967	0.1436	0.1076	0.1696
MEAF6	0.4672	0.3744	0.5192	0.3906
C1orf122	0.0334	0.0276	0.0177	0.0186
SF3A3	0.0313	0.0296	0.043	0.0388
AKIRIN1	0.0728	0.1124	0.0526	0.1046
NDUFS5	0.475	0.3112	0.5242	0.362
MACF1	0.00229999999999997	0.00149999999999995	0.0036	0.0026
PPIE	0.4604	0.3638	0.476	0.372
CAP1	0.8512	0.712	0.8438	0.736
SMAP2	0.2352	0.136	0.1972	0.1154
FOXJ3	0.0103	0.0209	0.0077	0.0238
PPCS	0.5892	0.5998	0.6064	0.6458
YBX1	0.4544	0.717	0.3646	0.6338
ATP6V0B	0.2682	0.3168	0.277	0.3084
RNF220	0.1512	0.2296	0.1704	0.2612
RPS8	0.1628	0.1082	0.1434	0.1116
PRDX1	0.0872000000000001	0.1464	0.0531	0.0952
NASP	0.4764	0.7234	0.4808	0.7354
GPBP1L1	0.4848	0.8628	0.4616	0.828
UQCRH	0.00209999999999999	0.00780000000000003	0.0022	0.0056
EFCAB14	0.5436	0.4408	0.5748	0.4736
CMPK1	0.168	0.1042	0.2032	0.1318
EPS15	0.00170000000000003	0.00490000000000002	9e-04	0.0066
TXNDC12	0.2342	0.1894	0.2578	0.239
SCP2	0.1406	0.1428	0.1648	0.1522
MAGOH	0.5166	0.5984	0.537	0.6206
HSPB11	0.1086	0.0993000000000001	0.1374	0.1178
TMEM59	0.0415	0.0804	0.0118	0.0269
SSBP3	0.2344	0.1808	0.239	0.1852
MYSM1	0.342	0.5204	0.219	0.4314
JUN	0.926	0.8358	0.9274	0.8352
TM2D1	0.8592	0.4976	0.8346	0.517
USP1	0.3264	0.786	0.3386	0.7886
JAK1	0.2372	0.3772	0.2192	0.335
PDE4B	0.1052	0.0852000000000001	0.1174	0.1122
MIER1	0.285	0.6562	0.3002	0.6602
SERBP1	0.3218	0.6774	0.2552	0.666
SRSF11	0.00370000000000004	0.00639999999999996	1e-04	4e-04
ZRANB2	0.00519999999999998	0.00849999999999995	0.0069	0.0099
USP33	0.0736	0.0717	0.0912	0.0869
FUBP1	0.034	0.0407	0.0331	0.0469
PRKACB	0.8036	0.7676	0.75	0.8
RPF1	0.0893000000000001	0.0821	0.1156	0.1052
GNG5	0.808	0.7312	0.8234	0.763
C1orf52	0.0509	0.0674	0.0368	0.0465
ZNHIT6	0.7752	0.6976	0.77	0.6762
ODF2L	0.00319999999999998	0.00270000000000004	0.0011	0.0032
SH3GLB1	0.3718	0.3784	0.4214	0.4296
PKN2	0.00229999999999997	0.00629999999999997	0.0042	0.0105
GTF2B	0.1056	0.154	0.1306	0.18
GBP2	0.8522	0.919	0.8472	0.9136
GBP4	0.8872	0.9926	0.864	0.9974
GBP5	0.2046	0.4976	0.1794	0.4666
ZNF326	0.4764	0.4934	0.477	0.5182
ZNF644	0.00539999999999996	0.00800000000000001	0.0082	0.0156
TGFBR3	0.035	0.039	0.0449	0.0515
RPAP2	0.2698	0.2066	0.2348	0.2242
RPL5	0.0237000000000001	0.0309	0.0051	0.0067
MTF2	0.154	0.1454	0.1554	0.141
TMED5	0.844	0.6786	0.8612	0.712
DR1	0.00119999999999998	0.002	0.0015	0.0031
DNTTIP2	0.1264	0.0848	0.1498	0.1138
CDC14A	0.0567	0.0464	0.0836	0.0714
RNPC3	0.1858	0.4184	0.2142	0.4474
VAV3	0.5072	0.6564	0.5712	0.703
PRPF38B	0.000399999999999956	0.000299999999999967	2e-04	2e-04
STXBP3	0.504	0.625	0.5316	0.6478
SARS	0.7912	0.9374	0.772	0.9296
PSMA5	0.1618	0.2094	0.1462	0.1952
GNAI3	0.2398	0.3518	0.2568	0.3612
LAMTOR5	0.5224	0.5318	0.5692	0.563
CD53	0.7902	0.713	0.7736	0.6756
DENND2D	0.0201	0.015	0.0224	0.0163
C1orf162	0.9336	0.6098	0.9392	0.602
RAP1A	0.03	0.0421	0.0379	0.0497
CAPZA1	0.0235	0.0332	0.0162	0.0289
RHOC	0.3434	0.1804	0.3586	0.201
RSBN1	0.0142	0.0165999999999999	0.0208	0.0247
PTPN22	0.0515	0.0426	0.0447	0.0461
HIPK1	0.000499999999999945	0.000299999999999967	1e-04	1e-04
TRIM33	0.0236	0.0164	0.0178	0.0096
BCAS2	0.9016	0.924	0.8904	0.921
CSDE1	0.00109999999999999	0.00190000000000001	0.0019	0.0039
ATP1A1	0.1566	0.2502	0.1768	0.2826
CD2	0.8112	0.95	0.7962	0.9452
MAN1A2	0.2004	0.1928	0.2008	0.197
LINC00623	0.3178	0.5516	0.3146	0.5368
TXNIP	0.2682	0.2592	0.2248	0.204
POLR3GL	0.9194	0.8652	0.914	0.8698
RBM8A	0.3646	0.2488	0.3346	0.2222
RNF115	0.0434	0.1042	0.0361	0.0914
HIST2H2AC	0.8068	0.8962	0.8106	0.8734
PLEKHO1	0.297	0.2542	0.2694	0.2766
ANP32E	0.9438	0.9238	0.953	0.9392
APH1A	0.2174	0.1826	0.2176	0.1784
MRPS21	0.5592	0.5046	0.6294	0.5892
MCL1	0.2536	0.4526	0.2072	0.42
ENSA	0.7824	0.809	0.7434	0.7946
CTSS	0.789	0.8778	0.6664	0.7686
C1orf56	0.0873	0.1988	0.0522	0.141
CDC42SE1	0.202	0.4342	0.1542	0.4022
SCNM1	0.6574	0.9502	0.6624	0.9532
PSMD4	0.9342	0.844	0.9048	0.8046
PSMB4	0.966	0.985	0.9604	0.9772
MRPL9	0.2948	0.4478	0.3124	0.4978
S100A10	0.0242	0.005	0.0324	0.0106
S100A11	0.5258	0.6324	0.5194	0.6156
S100A9	0.00409999999999999	0.00119999999999998	0.0046	0.0036
S100A8	0.00309999999999999	0.001	0.0027	0.0011
S100A6	0.1518	0.108	0.16	0.1134
S100A4	0.0113	0.0104	0.0134	0.011
