"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"EUKARYOTIC_TRANSLATION_ELONGATION",1e-10,4.42666666666667e-09,NA,0.871472687521706,1.65944358237641,88,"RPL8, RPS3, RPS5, RPL21, EEF1A1, RPS3A, RPL7, RPS4Y1, EEF1D, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, EEF1B2, RPL13, RPL4, RPL18A, RPS23, RPS19, RPL17, RPL37, RPS15, RPL38, RPS6, RPL6, FAU, RPS17, RPL18, RPL9, RPL22, RPS8, RPL27, RPL36AL, RPL19, RPS12, RPS29, RPS14"
"RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",1e-10,4.42666666666667e-09,NA,0.861926958444666,1.64473691028004,93,"RPL8, RPS3, RPS5, RPL21, RPS3A, RPL7, RPS4Y1, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, RPL13, RPL4, RPL18A, RPS23, RPS19, RPL17, RPL37, RPS15, RPL38, RPS6, RPL6, FAU, RPS17, RPL18, RPL9, RPL22, CEBPB, RPS8, RPL27, RPL36AL, RPL19, RPS12, RPS29, RPS14"
"SELENOAMINO_ACID_METABOLISM",1e-10,4.42666666666667e-09,NA,0.862935199157498,1.64383913444355,90,"RPL8, RPS3, RPS5, RPL21, RPS3A, RPL7, RPS4Y1, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, RPL13, RPL4, RPL18A, RPS23, RPS19, RPL17, RPL37, RPS15, RPL38, RPS6, RPL6, FAU, RPS17, RPL18, RPL9, RPL22, RPS8, RPL27, RPL36AL, RPL19, RPS12, RPS29, RPS14"
"EUKARYOTIC_TRANSLATION_INITIATION",1e-10,4.42666666666667e-09,NA,0.848964478051746,1.62789770037747,112,"RPL8, RPS3, RPS5, RPL21, RPS3A, RPL7, RPS4Y1, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, RPL13, RPL4, RPL18A, RPS23, RPS19, RPL17, RPL37, RPS15, RPL38, EIF3K, RPS6, RPL6, FAU, RPS17, RPL18, PABPC1, RPL9, RPL22, RPS8, RPL27, EIF3I, RPL36AL, EIF3E, RPL19, RPS12, EIF3L, RPS29, EIF3H, RPS14"
"NONSENSE_MEDIATED_DECAY_NMD",1e-10,4.42666666666667e-09,NA,0.848506890958975,1.62436743141088,106,"RPL8, RPS3, RPS5, RPL21, RPS3A, RPL7, RPS4Y1, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, RPL13, RPL4, SMG1, RPL18A, RPS23, RPS19, RPL17, RPL37, RPS15, RPL38, RPS6, RPL6, FAU, RPS17, RPL18, PABPC1, RPL9, RPL22, RPS8, RPL27, RPL36AL, RPL19, RPS12, RPS29, RPS14"
"SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",1e-10,4.42666666666667e-09,NA,0.84739328124598,1.62223555556123,106,"RPL8, RPS3, RPS5, RPL21, RPS3A, RPL7, RPS4Y1, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, RPL13, RPL4, RPL18A, RPS23, RPS19, SRP14, SSR4, RPL17, RPL37, RPS15, RPL38, RPS6, RPL6, FAU, RPS17, SEC61B, RPL18, RPL9, RPL22, RPS8, RPL27, RPL36AL, RPL19, RPS12, RPS29, RPS14"
"REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",1e-10,4.42666666666667e-09,NA,0.817717412448861,1.57137281455731,146,"RPL8, RPS3, RPS5, RPL21, RPS3A, RPL7, RPS4Y1, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, RPL13, RPL4, RPL18A, RPS23, RPS19, RPL17, RPL37, RPS15, RPL38, RPS6, RPL6, FAU, UBC, RPS17, UBB, RPL18, ELOB, PABPC1, RPL9, PSME1, PSMC5, RPL22, RPS8, RPL27, PSMB1, RPL36AL, RPL19, RPS12, RPS29, PSMB6, RPS14"
"INFLUENZA_INFECTION",1e-10,4.42666666666667e-09,NA,0.812716771707462,1.56131101531198,134,"RPL8, RPS3, RPS5, RPL21, RPS3A, RPL7, RPS4Y1, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, SLC25A6, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, RPL13, RPL4, RPL18A, RPS23, EIF2AK2, RPS19, RPL17, RPL37, RPS15, RPL38, RPS6, RPL6, FAU, RPS17, RPL18, RPL9, CALR, RPL22, RPS8, RPL27, RPL36AL, HSP90AA1, RPL19, RANBP2, RPS12, RPS29, RPS14"
"RRNA_PROCESSING",1e-10,4.42666666666667e-09,NA,0.809650277673723,1.55587054435487,146,"RPL8, RPS3, RPS5, RPL21, RPS3A, RPL7, RPS4Y1, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, RPL13, RPL4, RPL18A, RPS23, RPS19, RPL17, RPL37, RPS15, RPL38, RPS6, RPL6, FAU, RPS17, RPL18, RPL9, RPL22, RPS8, RPL27, RPL36AL, RPL19, RPS12, RPS29, RPS14"
"SIGNALING_BY_ROBO_RECEPTORS",1e-10,4.42666666666667e-09,NA,0.798575220614469,1.53790693089513,164,"RPL8, RPS3, RPS5, RPL21, RPS3A, RPL7, RPS4Y1, RPL5, RPS2, RPLP1, RPSA, RPL15, RPS4X, RPLP0, RPS16, RPL36A, RPL3, RPL10, UBA52, RPL29, RPL7A, RPS27A, RPL13, RPL4, RPL18A, RPS23, RPS19, RPL17, RPL37, RPS15, RPL38, RPS6, RPL6, FAU, UBC, RPS17, UBB, RPL18, ELOB, PABPC1, RPL9, PSME1, PSMC5, RPL22, RPS8, RPL27, PFN1, PSMB1, RPL36AL, RPL19, RPS12, RPS29, PSMB6, RPS14, RHOA, RPS13"
