"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"EUKARYOTIC_TRANSLATION_ELONGATION",1e-10,2.652e-09,NA,0.927840609391765,6.7589280680152,88,"RPL41, EEF1A1, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, RPL31, EEF1B2, RPL23, RPL36AL, RPS10, RPL4, EEF1D, RPL36A, EEF2, RPS4Y1"
"SELENOAMINO_ACID_METABOLISM",1e-10,2.652e-09,NA,0.899331241891046,6.56767151968548,90,"RPL41, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, RPL31, RPL23, RPL36AL, RPS10, RPL4"
"RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",1e-10,2.652e-09,NA,0.882246773087647,6.52522953470778,93,"RPL41, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, RPL31, RPL23, RPL36AL, RPS10, RPL4"
"NONSENSE_MEDIATED_DECAY_NMD",1e-10,2.652e-09,NA,0.813716504268431,6.18938017873133,106,"RPL41, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, RPL31, RPL23, RPL36AL, RPS10, RPL4, PABPC1, RPL36A"
"EUKARYOTIC_TRANSLATION_INITIATION",1e-10,2.652e-09,NA,0.791433699221809,6.12397381624315,112,"RPL41, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, RPL31, RPL23, RPL36AL, RPS10, RPL4, PABPC1, RPL36A, EIF3K, RPS4Y1, EIF3F, EIF3E, EIF3H, EIF4B, EIF4A2, EIF3G"
"SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",1e-10,2.652e-09,NA,0.804777910378339,6.12139046049549,106,"RPL41, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, RPL31, RPL23, RPL36AL, RPS10, RPL4, SRP14, RPL36A, SSR4, RPS4Y1"
"INFLUENZA_INFECTION",1e-10,2.652e-09,NA,0.710653841174155,5.6648601211894,134,"RPL41, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, RPL31, RPL23, RPL36AL, HSP90AA1, RPS10, RPL4, RPL36A, SLC25A6, CALR, RPS4Y1"
"RRNA_PROCESSING",1e-10,2.652e-09,NA,0.673560922638233,5.4700574892952,146,"RPL41, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, RPL31, RPL23, RPL36AL, RPS10, RPL4"
"REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",1e-10,2.652e-09,NA,0.671490052315113,5.45323973853262,146,"RPL41, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, UBC, RPL31, RPL23, RPL36AL, RPS10, RPL4, UBB, PSME1, PABPC1, RPL36A, RPS4Y1, ELOB, PSME2, PSMB9, PSMA7"
"SIGNALING_BY_ROBO_RECEPTORS",1e-10,2.652e-09,NA,0.64049021447681,5.29589639762037,164,"RPL41, RPS27, RPL10, RPS12, RPL13, RPLP1, RPL28, RPS18, RPL30, RPS27A, RPS15A, RPS19, RPS14, RPS3, RPL34, RPL32, RPS2, RPL11, RPS3A, RPL19, RPS8, RPL37, RPS23, RPL13A, RPL39, RPS24, RPS28, RPL3, RPS29, RPLP2, RPS15, RPL21, RPS6, RPL23A, RPL18A, RPS4X, RPL14, RPS25, RPL26, RPL7A, RPS7, RPL6, RPL35A, FAU, RPL12, RPL18, RPL37A, RPL29, RPS13, RPL27A, RPL9, RPS16, RPL36, RPS21, RPL15, RPSA, RPS26, RPL5, RPL35, RPL10A, PFN1, RPL8, UBA52, RPS9, RPL24, RPS20, RPL38, RPS11, RPL27, RPLP0, RPL7, RPS5, RPL22, UBC, RPL31, RPL23, RPL36AL, RPS10, RPL4, UBB, CDC42, PSME1, CXCR4, PABPC1, RPL36A, EVL, RPS4Y1, ELOB, RHOA, PSME2, PSMB9, PSMA7"
