geneType	pval_M_zinb	pval_M_kde	pval_S0_zinb	pval_S0_kde	pval_S1_zinb	pval_S1_kde	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.352	0.329	0.325	0.31	0.345	0.318	0.600617702422429	0.255781230239302	0.675221746501056
EE	0.529	0.887	0.471	0.879	0.491	0.883	0.624298211390839	0.455828527132532	0.669188143886883
EE	0.562	0.849	0.525	0.854	0.532	0.821	0.505502245844915	0.0788850382668559	0.549597592813586
EE	0.967	0.738	0.968	0.747	0.958	0.725	0.172953568557389	0.00827247273221119	0.0474969165566629
meanDE	0.461	0.186	0.395	0.151	0.412	0.212	0.494162937352844	0.00138951071204034	0.544260730596469
varDE	0.25	0.218	0.249	0.169	0.186	0.171	0.416745051331149	9.72917504972966e-08	0.00117186741667611
EE	0.691	0.107	0.68	0.094	0.717	0.166	0.436076477641056	0.0146264152080962	0.775803695120622
EE	0.23	0.422	0.192	0.412	0.174	0.375	0.43225884622477	0.00261917144352478	0.547772876252016
EE	0.556	0.515	0.527	0.51	0.499	0.445	0.704671180009715	0.183070972650305	0.37251684376949
EE	0.153	0.331	0.154	0.315	0.179	0.33	0.320060111912795	0.0962557851663474	0.36634152281684
varDE	0.272	0.14	0.3	0.128	0.286	0.119	0.986967827307013	2.23846909863548e-08	0.0165775190212895
EE	0.508	0.705	0.516	0.683	0.514	0.616	0.466236088309596	0.0516075597306861	0.506263286150975
meanDE	0.819	0.549	0.842	0.597	0.789	0.559	0.680628476632004	0.0805855524192266	0.765846418620224
meanDE	0.038	0.042	0.061	0.062	0.048	0.045	0.0217398031429995	1.47620077554697e-44	0.0705118414119945
EE	0.407	0.859	0.371	0.813	0.398	0.845	0.413401298325301	0.32206562334338	0.47334776710024
EE	0.888	0.925	0.908	0.926	0.887	0.914	0.457073985721438	0.000402107364230498	0.846019098090511
EE	0.227	0.442	0.248	0.469	0.226	0.448	0.258280721125164	2.48402731339666e-07	0.455695558800058
EE	0.594	0.67	0.655	0.643	0.629	0.664	0.682847222536688	0.429121625123026	0.423372313340891
varDE	0.011	0.003	0.007	0.005	0.005	0.004	0.118561378103501	4.25087336842365e-16	0.0515891394655643
EE	0.677	0.775	0.59	0.714	0.617	0.734	0.902767659681027	0.943221940529353	0.998360181959448
EE	0.225	0.174	0.26	0.189	0.212	0.152	0.0834677853320332	2.12810363553121e-12	0.0799854629142687
varDE	0.002	0.214	0.002	0.237	0.005	0.271	0.582229591668685	2.93775020756417e-10	0.00204265103372462
EE	0.321	0.305	0.283	0.229	0.263	0.231	0.421689112159972	0.0963859131908223	0.578673220320435
meanDE	0.426	0.979	0.372	0.987	0.396	0.987	0.389204074018724	4.69566439767355e-09	0.652819943578871
EE	0.924	0.905	0.829	0.895	0.855	0.81	0.725277077834612	0.708820589766469	0.736559203884228
EE	0.521	0.831	0.531	0.847	0.433	0.846	0.720156613980228	0.360589917074632	0.787016854617259
meanDE	0.948	0.92	0.935	0.901	0.951	0.931	0.576595394556901	0.000187412910377857	0.766371281100998
meanDE	0.756	0.981	0.763	0.986	0.733	0.975	0.728537542675667	0.60219051513269	0.364054004113048
EE	0.942	0.817	0.892	0.848	0.938	0.811	0.212616042457904	0.185503134190237	0.470151207466131
varDE	0.185	0.165	0.177	0.161	0.171	0.157	0.70112166761835	0.000110097825809187	0.0640785160945416
EE	0.914	0.919	0.942	0.936	0.93	0.923	0.644959579250658	0.217709147851493	0.432253249755421
varDE	0.035	0.011	0.044	0.008	0.027	0.012	0.921538881376778	6.07824346825939e-12	0.000200023106847009
varDE	0.266	0.213	0.269	0.212	0.3	0.212	0.37062314316923	1.36027621682151e-08	0.0931007297999545
EE	0.656	0.766	0.681	0.772	0.617	0.771	0.101549300005963	0.000974048668783242	0.0659087367689954
meanDE	0.229	0.255	0.272	0.247	0.28	0.276	0.000465539440028458	3.86164356761819e-08	0.00295451527875542
EE	0.8	0.772	0.837	0.816	0.826	0.819	0.687618876372778	0.0724868799129719	0.717313981350773
EE	0.207	0.194	0.185	0.185	0.169	0.139	0.150938780380793	3.56262630262485e-12	0.144122703760831
EE	0.81	0.666	0.84	0.654	0.827	0.689	0.565010794092232	0.0171365260118137	0.0165834317956838
EE	0.581	0.931	0.541	0.9	0.483	0.595	0.991778603836603	0.977942159301197	0.815704563860476
meanDE	0.276	0.293	0.221	0.227	0.228	0.24	0.103386376872164	8.60152627647653e-33	0.0850806124374166
EE	0.207	0.256	0.198	0.277	0.23	0.292	0.111857557729084	9.39027372896637e-07	0.0627697578299143
EE	0.277	0.498	0.273	0.503	0.309	0.528	0.214141875252239	3.15468405035687e-05	0.25355925998408
EE	0.671	0.914	0.675	0.931	0.664	0.916	0.634063606030972	0.103692440035554	0.629011152936276
EE	0.825	0.459	0.837	0.436	0.849	0.411	0.774169770354679	1.18207328762313e-10	0.445357628581379
meanDE	0.071	0.053	0.066	0.05	0.097	0.076	0.0481330947127542	5.08257628952545e-20	0.139457565056775
EE	0.484	0.872	0.485	0.872	0.468	0.855	0.673546324853304	0.0865548577057254	0.219058698150156
varDE	0.078	0.233	0.081	0.229	0.085	0.276	0.405928392893902	9.67712202481772e-11	0.076530103419443
EE	0.647	0.786	0.692	0.806	0.621	0.751	0.685405387255526	0.205480288361699	0.672423441310441
meanDE	0.264	0.413	0.277	0.436	0.229	0.44	0.0468140568973852	4.12513074058331e-16	0.0718814096750288
EE	0.963	0.449	0.971	0.452	0.94	0.434	0.324587941460659	6.49527870424718e-06	0.341506868878935
EE	0.767	0.352	0.747	0.383	0.76	0.351	0.357053919746103	0.0055764812451221	0.656314595453202
EE	0.034	0.016	0.013	0.017	0.025	0.015	0.17471772126669	0.00298365791751319	0.050577138080055
EE	0.048	0.889	0.043	0.921	0.063	0.934	0.00597844810300869	3.66558431832389e-11	0.00013733260591556
EE	0.14	0.262	0.058	0.168	0.065	0.119	0.00738705886463527	3.44797341099357e-34	0.00107284247911286
EE	0.787	0.764	0.788	0.711	0.775	0.731	0.600263242069394	0.217573698332449	0.403139678703525
