geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.841	0.854	0.889	0.565	0.808	0.828	0.879	0.607	0.995857330744133	0.662253164774577	0.992408734382251	0.537979384870276
EE	0.292	0.316	0.297	0.718	0.274	0.283	0.267	0.707	0.170075759460471	1.50227033419967e-08	0.358593405704311	1.55072667302852e-09
EE	0.613	0.575	0.952	0.466	0.599	0.573	0.927	0.506	0.646285820854504	0.397786771931861	0.467979170350265	0.241128541468772
meanDE	0.023	0.033	0.00900000000000001	0.021	0.002	0.005	0.001	0.002	4.56631282127551e-06	1.13505836396032e-24	1.56219689018149e-05	7.01349440616417e-36
varDE	0.229	0.237	0.359	0.525	0.178	0.221	0.316	0.517	0.16163733351162	1.27336053381955e-15	0.000240957179062851	0.00929545557820454
varDE	0.117	0.015	0.04	0.588	0.124	0.014	0.039	0.554	0.200983081581013	1.9569436443672e-26	2.74463812630931e-06	9.38315925656587e-05
EE	0.037	0.202	0.013	0.192	0.032	0.155	0.02	0.168	0.0355472539466315	0.00626962266458393	0.0231546285287584	0.000146412224502161
EE	0.532	0.394	0.744	0.578	0.496	0.394	0.724	0.606	0.538404919038993	0.0144088429542158	0.728614080292939	0.000892640335079284
EE	0.61	0.565	0.633	0.719	0.637	0.547	0.628	0.726	0.842142739738619	0.135962993808779	0.522599580195303	0.00186014625699549
EE	0.159	0.169	0.094	0.903	0.174	0.175	0.104	0.894	0.20354499584126	0.00468209953134764	0.438518079213626	0.000606928114833716
EE	0.0610000000000001	0.0580000000000001	0.033	0.038	0.058	0.07	0.039	0.034	0.0108360018427557	3.7839283612141e-18	0.0252455949543639	6.66306359110554e-11
EE	0.575	0.517	0.796	0.713	0.594	0.528	0.842	0.803	0.534735790809732	0.226996557783609	0.803882254065863	0.756915540737546
EE	0.565	0.392	0.782	0.838	0.55	0.398	0.78	0.862	0.942192592328234	0.117619046708665	0.644598148295924	0.0925136740053792
EE	0.223	0.231	0.212	0.203	0.197	0.267	0.178	0.187	0.210169078961827	1.85728486239483e-13	0.245272804344538	5.02130424357635e-24
EE	0.589	0.509	0.846	0.436	0.584	0.47	0.799	0.358	0.454364226802838	0.0280333864488547	0.520582144325179	0.00235701862291709
meanDE	0.005	0.004	0.011	0.004	0.001	0.001	0.001	0.001	0.000135177118617288	1.20071114234382e-39	8.3869791770275e-05	4.18116253970965e-54
EE	0.628	0.521	0.715	0.785	0.567	0.49	0.689	0.768	0.861399975142387	0.609581772501065	0.951112312869685	0.720227988428692
varDE	0.04	0.003	0.00700000000000001	0.001	0.054	0.005	0.019	0.003	0.25223716084062	4.67304159615396e-33	0.000249635713826839	2.46127921759067e-17
meanDE	0.772	0.788	0.757	0.676	0.79	0.801	0.76	0.618	0.719862324465064	0.450219365113596	0.812855471464992	0.00018527113438932
EE	0.897	0.921	0.688	0.821	0.89	0.901	0.673	0.806	0.623940133952887	0.0320447851849807	0.925485598013175	0.282828988902632
EE	0.817	0.642	0.773	0.351	0.744	0.597	0.695	0.306	0.826986816989499	0.396123804132956	0.914062617951067	0.0238581731189402
EE	0.849	0.938	0.457	0.404	0.868	0.95	0.524	0.389	0.36645425129878	0.0536703758878284	0.50105023121325	0.0237668008127197
EE	0.311	0.268	0.162	0.074	0.278	0.228	0.155	0.093	0.125618621131071	2.37602497152311e-11	0.215489978336141	5.17455242686395e-16
EE	0.458	0.61	0.631	0.966	0.424	0.578	0.588	0.974	0.625825278676909	0.0803081016828739	0.89438500947897	0.00685874618978302
EE	0.975	0.927	0.897	0.07	0.984	0.886	0.903	0.034	0.907814895978592	0.724126096621064	0.843261757753012	0.304262760620953
EE	0.515	0.713	0.692	0.743	0.558	0.761	0.704	0.76	0.602696607307632	2.3741615142378e-11	0.755209572971139	0.000221379428699101
EE	0.158	0.132	0.54	0.243	0.111	0.113	0.468	0.293	0.205339255984079	0.000221619835165946	0.219839023174829	0.27138628230725
varDE	0.07	0.023	0.00600000000000001	0.151	0.072	0.03	0.008	0.139	0.0750123197345915	1.51048259716906e-38	1.64798511157609e-05	9.14113809952657e-23
EE	0.622	0.905	0.852	0.953	0.613	0.89	0.822	0.95	0.82340256869535	0.233038576842806	0.813484747104503	0.0458789360443883
EE	0.767	0.997	0.906	0.431	0.759	0.989	0.904	0.386	0.508279090239513	0.107684934963848	0.875246900445291	0.54910951322716
EE	0.82	0.65	0.539	0.513	0.831	0.621	0.48	0.52	0.843779704444867	0.760692353904812	0.856239957152764	0.34775570645739
EE	0.549	0.314	0.96	0.811	0.545	0.334	0.966	0.81	0.837071509637789	0.165498887085236	0.801703735259843	0.876524462507988
EE	0.204	0.236	0.558	0.709	0.231	0.21	0.595	0.726	0.560555352470066	0.183067142953592	0.605187211119024	0.00170894189243938
EE	0.7	0.587	0.922	0.884	0.642	0.54	0.897	0.87	0.828981383527175	0.34335361879567	0.736166961938462	0.165868916595668
