geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.198	0.258	0.242	0.58	0.211	0.241	0.226	0.833	0.166402857158583	3.95771870441005e-06	0.272619925059844
EE	0.388	0.46	0.435	0.632	0.174	0.224	0.198	0.721	0.16539283864605	0.00522213354032772	0.197063246188947
EE	0.951	0.998	0.994	0.894	0.796	0.893	1	0.982	0.991914939833018	0.154496514503602	0.418742581674661
meanDE	0.471	0.396	0.588	0.653	0.533	0.61	0.694	0.705	0.433949189707333	2.51746598920501e-06	0.01967235065312
varDE	0.125	0.122	0.056	0.104	0.067	0.051	0.072	0.151	0.00392118575041474	3.55160613913356e-12	0.000591951198401485
varDE	0.504	0.223	0.442	0.622	0.613	0.124	0.501	0.546	0.639834776575901	1.34666326587117e-06	0.00055095376869455
EE	0.482	0.557	0.489	0.261	0.26	0.407	0.326	0.258	0.885326466195775	0.327048561750056	0.464883576571335
EE	0.463	0.369	0.514	0.108	0.826	0.907	0.984	0.418	0.692981682511998	0.576541797258247	0.942272272428042
EE	0.804	0.773	0.554	0.523	0.535	0.731	0.333	0.449	0.816844055481801	0.623704431702397	0.611641670502072
EE	0.95	0.834	0.925	0.931	0.612	0.533	0.79	0.825	0.685815913599037	0.655764316238829	0.973865848742121
EE	0.938	0.886	0.863	0.931	0.623	0.44	0.526	0.433	0.607938229682927	0.0649980019442541	0.68579645239509
EE	0.692	0.863	0.783	0.83	0.817	0.923	0.829	0.933	0.925246118505155	0.504949448045571	0.32588534286618
EE	0.65	0.799	0.486	0.447	0.847	0.967	0.601	0.528	0.470581105626467	2.4898501937086e-05	0.173089270771027
EE	0.947	0.905	0.987	0.933	0.928	0.927	0.911	0.895	0.678879600889203	0.0036572904796612	0.342222770536932
EE	0.864	0.96	0.622	0.311	0.974	0.905	0.808	0.371	0.535178484935437	0.337725404646481	0.510735789043581
meanDE	0.55	0.585	0.538	0.338	0.719	0.743	0.631	0.327	0.452209056810389	0.00673157645696442	0.65797377165583
EE	0.769	0.849	0.852	0.83	0.662	0.734	0.698	0.963	0.705003618008318	0.0287510719057465	0.251455677787634
varDE	0.371	0.367	0.596	0.38	0.464	0.41	0.767	0.434	0.630348316127228	5.56674417170711e-08	0.144876156476627
meanDE	0.242	0.184	0.263	0.095	0.43	0.326	0.437	0.146	0.130839477147008	2.02301607250176e-14	0.376606572513383
EE	0.587	0.55	0.813	0.761	0.639	0.56	0.713	0.711	0.573691638095465	0.0513624083553112	0.946166033590374
EE	0.807	0.953	0.879	0.385	0.917	0.995	0.739	0.257	0.747040754902707	0.0285347916897932	0.209353438049475
EE	0.679	0.49	0.467	0.902	0.302	0.306	0.129	0.776	0.215377011533286	1.63945641643473e-05	0.0516509403987544
EE	0.126	0.111	0.147	0.443	0.16	0.124	0.165	0.489	0.109983577116417	8.63726801864474e-07	0.401665036807337
EE	0.314	0.242	0.404	0.219	0.755	0.501	0.74	0.404	0.80231775200235	0.4752003246802	0.641969329001541
EE	0.347	0.394	0.4	0.462	0.377	0.485	0.376	0.534	0.410888826447474	0.00213330966257755	0.222377263204751
EE	0.565	0.666	0.552	0.726	0.536	0.661	0.544	0.657	0.592862321780413	4.80823387442294e-21	0.550447077044814
EE	0.262	0.266	0.175	0.861	0.197	0.257	0.152	0.941	0.403206439684305	0.000804471276542567	0.0110459046139016
