geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.876	0.899	0.7	0.96	0.889	0.874	0.687	0.952	0.691817109930664	0.341347162189057	0.70925288193067	0.131445807746913
EE	0.489	0.785	0.72	0.222	0.459	0.803	0.688	0.198	0.93354615105768	0.451932288012776	0.926708767555657	0.476527367451442
EE	0.808	0.866	0.989	0.991	0.81	0.842	0.984	0.987	0.836791834366166	0.632424398219454	0.80371459396714	0.534430226895213
meanDE	0.659	0.637	0.21	0.225	0.657	0.665	0.196	0.217	0.0100804735516407	0.00122191787612558	0.0518138649997621	0.00585328466370746
varDE	0.576	0.469	0.631	0.96	0.557	0.471	0.625	0.963	0.484489190800186	0.000285035582654901	0.257413863478368	0.000143673620950615
varDE	0.084	0.03	0.032	0.3	0.091	0.024	0.033	0.304	0.513085478033363	2.81618701219426e-08	0.00569464506345696	3.59106851794545e-05
EE	0.866	0.487	0.902	0.964	0.864	0.515	0.893	0.977	0.760054647316834	0.602103442608812	0.783359991645322	0.671303955651959
EE	0.265	0.467	0.302	0.874	0.266	0.446	0.288	0.887	0.577876834384536	0.0183243661408155	0.667100587239837	0.00812473776475226
EE	0.242	0.176	0.367	0.812	0.235	0.177	0.349	0.8	0.529158540083197	0.213483287480512	0.549518723189353	0.0614825573793592
EE	0.405	0.245	0.725	0.425	0.306	0.204	0.703	0.376	0.482639075620446	0.239018221917501	0.298428032783528	0.224077830560726
EE	0.723	0.647	0.641	0.724	0.744	0.671	0.636	0.737	0.872768235529201	0.957363663373956	0.887801073129071	0.812169174697969
EE	0.486	0.632	0.447	0.412	0.506	0.607	0.455	0.398	0.25863360918698	0.071792083460857	0.441995278816755	0.0543049482216987
EE	0.134	0.145	0.06	0.046	0.123	0.159	0.065	0.038	0.362452953926214	0.154684455066989	0.291661452590648	0.0436914320064891
EE	0.526	0.63	0.848	0.9	0.511	0.606	0.858	0.892	0.873301598515811	0.96680151333093	0.926058540985299	0.974207069724492
EE	0.834	0.742	0.574	0.577	0.841	0.722	0.539	0.534	0.128478141668585	0.0068529419754301	0.0527278071231398	0.00363877363380021
meanDE	0.148	0.149	0.094	0.108	0.183	0.18	0.13	0.135	0.0659705847612097	1.23740441937746e-06	0.0390157503865668	4.21153396399266e-07
EE	0.833	0.631	0.389	0.097	0.843	0.646	0.417	0.098	0.792506958301217	0.208043033585451	0.75144549273252	0.520297612624931
varDE	0.424	0.274	0.187	0.373	0.389	0.274	0.219	0.4	0.948720522032734	2.79943766089509e-07	0.0198434742483364	0.0025207092481023
meanDE	0.099	0.077	0.033	0.117	0.099	0.089	0.049	0.11	0.00744649999887806	3.67869344502035e-09	0.0491803898454353	3.40655895464447e-08
EE	0.945	0.732	0.995	0.76	0.941	0.741	0.997	0.782	0.999208196252512	0.165963445897592	0.874543621708386	0.828183672707761
EE	0.993	0.92	0.877	0.825	0.997	0.918	0.885	0.821	0.834041982496808	0.909275027159473	0.950599029522045	0.650214289817175
EE	0.224	0.205	0.473	0.152	0.266	0.231	0.472	0.18	0.370047936001216	0.397997817079377	0.39824407768805	0.196828881496712
EE	0.948	0.737	0.908	0.798	0.942	0.703	0.914	0.794	0.629277281330666	0.609521986855642	0.771452893947091	0.668333027658731
EE	0.832	0.956	0.713	0.954	0.806	0.976	0.686	0.954	0.459033706179323	0.160303731012911	0.528018260639123	0.089087063075455
EE	0.682	0.617	0.849	0.941	0.639	0.613	0.874	0.939	0.940744543948536	0.53596007926766	0.698778995244584	0.934914845603506
EE	0.003	0.003	0.006	0.053	0.004	0.01	0.01	0.051	0.000239836505507405	5.36538934501845e-86	0.000547697665989891	4.139292305945e-61
EE	0.647	0.628	0.653	0.973	0.653	0.607	0.644	0.968	0.80371529880923	0.209972955701054	0.599478206328307	0.43160439057109
varDE	0.351	0.161	0.141	0.025	0.354	0.179	0.148	0.044	0.459654339485205	3.47513982037841e-08	0.0547395462003124	1.51191857144239e-05
EE	0.749	0.909	0.924	0.988	0.748	0.893	0.913	0.989	0.843738882610647	0.804911772617923	0.71262286625487	0.785015260792829
EE	0.408	0.271	0.767	0.45	0.379	0.26	0.767	0.434	0.392909993335283	0.180364508556241	0.393517325968122	0.197185978489773
EE	0.046	0.025	0.108	0.225	0.055	0.037	0.12	0.248	0.08268684101351	0.000337371002199045	0.0389160618450613	0.0202977188025917
EE	0.414	0.313	0.891	0.615	0.406	0.307	0.879	0.571	0.713389881936957	0.159400805059518	0.353616546096814	0.228800501202136
EE	0.194	0.408	0.345	0.326	0.201	0.408	0.338	0.344	0.168960484376511	0.130306212052367	0.135758352985067	0.136933565684416
