gene	DDcategory	Clusters.combined	Clusters.c1	Clusters.c2	nonzero.pvalue	nonzero.pvalue.adj	zero.pvalue	zero.pvalue.adj	combined.pvalue	combined.pvalue.adj
gene1	DB	1	1	2	2.12136047049727e-05	2.85945808997104e-05	0.284719307084807	0.3710442713215	7.86223962058313e-05	9.28519589085697e-05
gene2	DB	1	1	2	8.96596954458317e-08	1.77105571251026e-07	0.0517917092145721	0.084409511411443	9.37445102562461e-08	1.54566381296366e-07
gene3	DB	1	1	2	5.68656239696708e-06	8.34265526787761e-06	0.466298274774961	0.55563422563969	3.66995045615871e-05	4.46262405369656e-05
gene4	DB	1	1	2	1.56300451167324e-05	2.14183557611955e-05	4.4711183185057e-08	1.85116332452004e-07	2.02588592674472e-11	4.95024050517953e-11
gene5	DB	1	2	1	0	0	0.0429627000552007	0.0719458813382955	0	0
gene6	DB	1	1	2	9.65894031423886e-15	5.56310457263577e-14	1.55464997371479e-09	7.55048278065852e-09	8.04164993706487e-22	3.71868205182191e-21
gene7	DB	1	1	2	3.1975527348127e-07	5.75099412736098e-07	0.38267692345008	0.475611048893286	2.06992544299948e-06	2.88843599232441e-06
gene8	DB	1	1	2	2.6739892633465e-08	5.78003623528019e-08	5.21826615545692e-14	3.95273778196022e-13	6.84020710490527e-20	2.90763320080989e-19
gene9	DB	1	1	2	1.63142055420451e-09	4.31307482935759e-09	0.511280128173962	0.597651577562987	1.82709533062953e-08	3.25903291974052e-08
gene10	DZ	1	2	2	4.61492555287046e-05	5.94132674975277e-05	2.86851770925241e-05	8.53618793017487e-05	2.83859161166852e-08	4.95499299440283e-08
gene11	DB	1	1	2	4.15210088533513e-11	1.42929462490022e-10	0.055493005531373	0.0898014467419488	6.40462114792258e-11	1.48383924655026e-10
gene12	DB	1	1	2	1.99259936384255e-06	3.14848803293312e-06	0.643841888342104	0.716983330759918	1.86874753263995e-05	2.34142212390284e-05
gene13	NS	1	2	2	1.01833541599206e-10	3.30494252654622e-10	0.243924997356068	0.325030160561584	6.31390982538349e-10	1.3278464406695e-09
gene14	DB	1	1	3	3.74851271811583e-06	5.66990012193734e-06	1.45731197414228e-05	4.52700523540352e-05	1.34550233167197e-09	2.74312401971859e-09
gene15	DB	1	1	2	0.0027879655165155	0.00293007411089385	0.880445150095468	0.90920226641023	0.0172065389290185	0.0175308598359842
gene16	DB	1	1	2	0	0	2.17726968623323e-31	7.50688802593947e-30	0	0
gene17	NS	1	1	1	0.00236086356481768	0.00249332125657313	0.654270793808178	0.726170678461443	0.0115430661400954	0.0118253975055402
gene18	DE	1	1	1	9.44688771653546e-13	4.1662128849109e-12	9.92192828490412e-17	9.89594817343492e-16	6.14288225206708e-27	3.34990170528539e-26
gene19	DB	1	1	3	2.38558062193306e-11	8.58508545904835e-11	1.97211161821537e-19	2.41576123033764e-18	3.22403701030487e-28	1.82020438125892e-27
gene20	DB	1	1	2	3.2798762705788e-08	6.97846015016765e-08	0.00167767429386139	0.00381133674427641	1.35490856665822e-09	2.76089366614004e-09
gene21	DB	1	1	2	2.03744798810135e-11	7.40553562235838e-11	0.00198039565212022	0.00443482217841814	1.28477736166819e-12	3.49956380433964e-12
gene22	DB	1	1	2	2.31944003359352e-06	3.62908669445495e-06	0.0185364908582691	0.0339687034078568	7.72271785299242e-07	1.13548507303693e-06
gene23	DE	1	1	1	0	0	6.98157212040903e-13	4.73669172104765e-12	0	0
gene24	DB	1	1	2	2.07438186849984e-07	3.86290850744849e-07	6.2336456241287e-06	2.03024964769566e-05	3.66902863240174e-11	8.71762074820728e-11
gene25	DB	1	1	2	4.39619129988245e-09	1.08414088776386e-08	0.639596772205075	0.713149509460328	5.81743686601104e-08	9.82467699558545e-08
gene26	DB	1	1	3	0	0	2.82009129835312e-118	2.81973878694082e-115	0	0
gene27	DB	1	1	2	2.17129936253002e-09	5.62396415542493e-09	0.0148898745062057	0.0277437936583135	8.13271033896574e-10	1.69475599665866e-09
gene28	DE	1	1	1	0	0	0.0256188477303899	0.0455693046465174	0	0
gene29	NS	1	2	2	8.07287829585057e-07	1.3573565861035e-06	0.453781811254478	0.543871847201763	5.79527970226802e-06	7.65811655403769e-06
gene30	DB	1	1	2	3.22253587836663e-06	4.91333848426396e-06	0.0576279047035737	0.0929083737647052	3.06401291223658e-06	4.18509532147731e-06
gene31	DB	1	1	2	2.07512451666503e-10	6.40965101672595e-10	0.00544612635604925	0.0111873561176266	3.22187725377429e-11	7.70093158954117e-11
gene32	NS	1	1	1	1.83933955399951e-06	2.91900742551003e-06	0.134734082017073	0.195525747832831	4.0173280208809e-06	5.41054278906519e-06
gene33	DB	1	1	2	6.07340566649572e-06	8.87276211321508e-06	0.0274047136136983	0.0483587699527847	2.76433964531889e-06	3.80043257648241e-06
gene34	DB	1	2	1	0.00102387238004409	0.00111049380706838	0.221019342349653	0.299548241181781	0.00212574583853952	0.00224985905808356
gene35	DE	1	1	1	0	0	2.6156834359165e-24	5.05382893813915e-23	0	0
gene36	DB	1	1	2	1.30129240716315e-12	5.63330046390972e-12	0.00221047198222257	0.00490881881893346	9.91870635426808e-14	2.97412484385849e-13
gene37	NS	1	1	1	1.81040801567889e-05	2.45937580666176e-05	0.144219104935179	0.207558226048308	3.61768461137468e-05	4.40241510358951e-05
gene38	DB	1	1	2	4.22179977599413e-06	6.32360947537035e-06	0.172308217399809	0.241466964082178	1.10090362445721e-05	1.40893121031158e-05
gene39	NS	1	2	2	0.000105175994496887	0.000128087677877164	0.1572534351435	0.223105751634064	0.000198633059247152	0.000225591208685011
gene40	DB	1	1	3	0.000547148733995972	0.000610231405544093	0.479945886668713	0.567996323045278	0.00242771983047886	0.0025608858971296
gene41	DB	1	1	2	3.15713033494092e-09	7.97506873366825e-09	1.1899309341299e-27	3.04097685051279e-26	3.101943940566e-34	2.00125415520387e-33
gene42	DE	1	1	1	1.11038955807885e-11	4.18620003045749e-11	8.29142450310039e-13	5.56869056257767e-12	4.97550094593132e-22	2.32635929675339e-21
gene43	DB	1	1	2	1.35987993532538e-07	2.60763170723946e-07	5.00840621298376e-05	0.000143592262715617	1.8193437361342e-10	4.03625898199489e-10
gene44	DZ	1	1	1	0.000461441195489742	0.000519007176489142	4.24391588682915e-68	1.6165277704165e-65	3.20794860420119e-69	2.45819816413885e-68
