gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.149866172294103	0.8034	0.8936	0.9012	0.842	0.3978	0.608	0.2598	0.5494
PER3	0.643725944403958	0.5212	0.7434	0.6042	0.837	0.397	0.5412	0.3504	0.4606
KIF1B	0.114239470012612	0.2084	0.2262	0.0911	0.0901	0.2524	0.248	0.169	0.177
ENO1	0.534033399934461	0.9724	0.9758	0.9906	0.9252	0.7574	0.769	0.7248	0.7552
GNB1	0.770280611393176	0.5528	0.7482	0.5328	0.7476	0.7382	0.6098	0.6808	0.5994
UBE4B	0.717950016174905	0.6024	0.5424	0.5926	0.5274	0.3012	0.3438	0.3174	0.39
RERE	0.286697341853066	0.8832	0.9746	0.941	0.8764	0.342	0.3352	0.292	0.2668
PRDM16	0.583339360557709	0.7576	0.9792	0.8714	0.9984	0.7354	0.7606	0.713	0.754
CLSTN1	0.90996271253553	0.8746	0.9578	0.756	0.8606	0.6448	0.6002	0.5486	0.5556
SLC25A33	0.77667893760538	0.7476	0.857	0.8456	0.9368	0.615	0.641	0.591	0.6124
CAMTA1	0.910200428320771	0.6968	0.4096	0.6824	0.415	0.9344	0.916	0.9178	0.8758
PRDM16-DT	0.606633112699557	0.5486	0.5694	0.6152	0.6942	0.8582	0.765	0.7618	0.6288
ARHGEF10L	0.761346212684671	0.9122	0.8574	0.8906	0.7684	0.682	0.4562	0.6194	0.3782
EIF4G3	0.372573144278752	0.3804	0.2138	0.4182	0.2506	0.488	0.5124	0.4576	0.4836
RSRP1	0.0315527237477568	0.2868	0.4498	0.2188	0.3446	0.329	0.2284	0.3748	0.2362
ARID1A	0.329690583723167	0.9858	0.9016	0.9194	0.8068	0.476	0.7658	0.386	0.8042
HP1BP3	0.550821801190883	0.9614	0.9642	0.9398	0.967	0.5826	0.516	0.3492	0.3378
SRRM1	0.279097633869776	0.4282	0.4398	0.3922	0.439	0.7574	0.7004	0.6798	0.632
LUZP1	0.766740506024237	0.5498	0.8224	0.6918	0.9426	0.4516	0.4762	0.471	0.5254
PHACTR4	0.178356229040437	0.4258	0.5528	0.5432	0.6768	0.6094	0.8066	0.5498	0.9104
SCMH1	0.993411439037366	0.9504	0.8468	0.978	0.7564	0.953	0.8684	0.9546	0.9122
TESK2	0.617760325011864	0.415	0.3968	0.5368	0.5392	0.1148	0.1564	0.1076	0.1634
COL16A1	0.393898452178734	0.526	0.798	0.5242	0.7956	0.8178	0.6432	0.7084	0.5032
SFPQ	0.892249789982733	0.9816	0.8706	0.874	0.6606	0.9354	0.9464	0.9714	0.8238
ERI3	0.321183939959128	0.1264	0.3022	0.1488	0.2994	0.8096	0.688	0.7172	0.5966
AGO3	0.304428595444352	0.2996	0.3898	0.2646	0.4108	0.4024	0.389	0.3848	0.3498
HIVEP3	0.803540761159234	0.1624	0.291	0.1662	0.2764	0.7858	0.5344	0.7132	0.313
MACF1	0.540758981795546	0.341	0.3808	0.3854	0.4254	0.291	0.3506	0.2568	0.3318
NASP	0.22269265630963	0.8046	0.565	0.7762	0.5958	0.3246	0.295	0.3378	0.3002
PUM1	0.819916026977309	0.793	0.7344	0.9476	0.8802	0.8164	0.8772	0.8352	0.655
KIAA0319L	0.811202524664692	0.947	0.9348	0.9498	0.9504	0.3728	0.3606	0.4124	0.417
ZMYM4	0.777158355457124	0.9112	0.7626	0.781	0.6526	0.8168	0.9928	0.8058	0.8672
ZSWIM5	0.932112432387919	0.5838	0.5706	0.524	0.5024	0.3276	0.3216	0.305	0.3198
RNF220	0.914462824354919	0.4506	0.6818	0.4718	0.7444	0.0729	0.0687	0.0917	0.0815
ARMH1	0.613096614906399	0.9668	0.9228	0.8108	0.7888	0.261	0.3508	0.1618	0.288
FOXJ3	0.222952934585211	0.1578	0.212	0.128	0.1994	0.208	0.2242	0.1896	0.2194
_ENSG00000228436	0.173065821401744	0.46	0.5364	0.4456	0.5288	0.9092	0.8168	0.7566	0.5624
LRRC7	0.0449986770150946	0.2042	0.1948	0.0761	0.085	0.6448	0.5656	0.543	0.5074
NRDC	0.0426441638579389	0.0845	0.1538	0.0323	0.0574	0.4184	0.4856	0.3106	0.3936
EPS15	0.323244301809757	0.4106	0.4614	0.3578	0.3816	0.4804	0.4232	0.243	0.2432
DOCK7	0.641847109857685	0.444	0.5462	0.3778	0.5366	0.3056	0.2064	0.1416	0.0934
WLS	0.783210542295366	0.8248	0.7962	0.8538	0.7936	0.3972	0.3792	0.2742	0.2776
